task,baseline,candidate,raw_draw_calls,distinct_sampled_rows,population_rows,declared_categories,positive_categories,p_min,exact_archive_target,independent_blocks,kernel_lower,kernel_upper,kernel_range,alpha,by_first_threshold,whole_case_seconds,process_peak_rss_kib,method,estimate,radius,lower,p,log_p,first_threshold_lower,sample_variance,arithmetic_seconds,first_term,second_term,lower_covers_archive_target,p_BY,retained
appliances,ridge,category_copy,32768,336,336,32,31,0.002976190476190476,-2.9347503914472164e-34,8192,-83.83333333333333,0.3333333333333333,84.16666666666666,0.05,0.002299605781865966,14.393808290362358,99720,direct_block_empirical_bernstein,0.010084510072825053,0.11839793191405527,-0.10831342184123022,1.0,0.0,-0.19276201142277866,0.9961787812796266,0.8325661458075047,,,True,1.0,False
appliances,ridge,category_copy,32768,336,336,32,31,0.002976190476190476,-2.9347503914472164e-34,8192,-83.83333333333333,0.3333333333333333,84.16666666666666,0.05,0.002299605781865966,14.393808290362358,99720,direct_full_u_hoeffding,0.0010627609061301113,1.138103233351763,-1.137040472445633,0.9999973877769492,-2.612226462630091e-06,-1.6196420722576947,,13.55341175198555,0.30584546276478664,0.3047827018586565,True,1.0,False
appliances,ridge,extra_trees,32768,336,336,32,31,0.002976190476190476,0.00984922674713656,8192,-83.83333333333333,0.3333333333333333,84.16666666666666,0.05,0.002299605781865966,14.068488106131554,99736,direct_block_empirical_bernstein,0.016554224748033856,0.11850223679371888,-0.10194801204568502,1.0,0.0,-0.18643358070639654,1.003128888850427,0.8298709839582443,,,True,1.0,False
appliances,ridge,extra_trees,32768,336,336,32,31,0.002976190476190476,0.00984922674713656,8192,-83.83333333333333,0.3333333333333333,84.16666666666666,0.05,0.002299605781865966,14.068488106131554,99736,direct_full_u_hoeffding,0.011039897162130496,1.138103233351763,-1.1270633361896327,0.9997181561706682,-0.00028188355476827903,-1.6096649360016944,,13.230715375393629,0.3144855949900185,0.303445697827888,True,1.0,False
appliances,ridge,hist_gradient_boosting,32768,336,336,32,31,0.002976190476190476,0.009052379273425554,8192,-83.83333333333333,0.3333333333333333,84.16666666666666,0.05,0.002299605781865966,14.053891211748123,100652,direct_block_empirical_bernstein,0.012779924553927433,0.11850172675401056,-0.10572180220008313,1.0,0.0,-0.1902071900370517,1.0030948447854564,0.8338717333972454,,,True,1.0,False
appliances,ridge,hist_gradient_boosting,32768,336,336,32,31,0.002976190476190476,0.009052379273425554,8192,-83.83333333333333,0.3333333333333333,84.16666666666666,0.05,0.002299605781865966,14.053891211748123,100652,direct_full_u_hoeffding,0.01032925877601959,1.138103233351763,-1.1277739745757436,0.9997532686034681,-0.0002467618397305329,-1.6103755743878054,,13.212174020707607,0.3121751881304823,0.3018459293544627,True,1.0,False
appliances,ridge,independent_noise,32768,336,336,32,31,0.002976190476190476,-0.0003378320739064407,8192,-83.83333333333333,0.3333333333333333,84.16666666666666,0.05,0.002299605781865966,14.960309147834778,100292,direct_block_empirical_bernstein,-0.007286164878858005,0.11258747108833847,-0.11987363596719647,1.0,0.0,-0.20226225010424692,0.6471730047442668,0.8542737811803818,,,True,1.0,False
appliances,ridge,independent_noise,32768,336,336,32,31,0.002976190476190476,-0.0003378320739064407,8192,-83.83333333333333,0.3333333333333333,84.16666666666666,0.05,0.002299605781865966,14.960309147834778,100292,direct_full_u_hoeffding,9.350089590121069e-05,1.138103233351763,-1.138009732455862,0.9999999797804622,-2.0219538005168483e-08,-1.6206113322679236,,14.098088093101978,0.24689915563962128,0.24680565474372007,True,1.0,False
appliances,ridge,persistence,32768,336,336,32,31,0.002976190476190476,0.018315390993407368,8192,-83.83333333333333,0.3333333333333333,84.16666666666666,0.05,0.002299605781865966,14.037571121007204,99408,direct_block_empirical_bernstein,0.023954051225281825,0.11832290694574467,-0.09436885572046284,1.0,0.0,-0.17879084679337662,0.9911946100416843,0.8248558863997459,,,True,1.0,False
appliances,ridge,persistence,32768,336,336,32,31,0.002976190476190476,0.018315390993407368,8192,-83.83333333333333,0.3333333333333333,84.16666666666666,0.05,0.002299605781865966,14.037571121007204,99408,direct_full_u_hoeffding,0.019517373990741993,1.138103233351763,-1.1185858593610212,0.9991193747038105,-0.0008810132744380013,-1.601187459173083,,13.197313003242016,0.3148699454785323,0.2953525714877903,True,1.0,False
