panel,method,x,rate,rejections,replications,wilson_low,wilson_high
resampled_peers,shared,25,0.18666666666666668,56,300,0.14663748213263131,0.23461877983475085
resampled_peers,shared,100,0.46000000000000002,138,300,0.40446314749709389,0.51654829020086979
resampled_peers,shared,400,0.94666666666666666,284,300,0.9151308582251686,0.9669080874809034
resampled_peers,distinct,25,0.050000000000000003,15,300,0.030531640629347281,0.080847033472744148
resampled_peers,distinct,100,0.053333333333333337,16,300,0.033091912519096461,0.084869141774831333
resampled_peers,distinct,400,0.043333333333333335,13,300,0.025496448084407246,0.072717465634011463
learned,shared,32,0.67700000000000005,677,1000,0.64738722027136164,0.70525810722475202
learned,shared,512,0.46500000000000002,465,1000,0.43427911875069891,0.49598875434329004
learned,shared,8192,0.40200000000000002,402,1000,0.37204223356031091,0.43270781110285789
learned,distinct,32,0.52700000000000002,527,1000,0.4960112345098614,0.55778212053191878
learned,distinct,512,0.079000000000000001,79,1000,0.06384721576082919,0.097374914884008235
learned,distinct,8192,0.041000000000000002,41,1000,0.030364971082098315,0.055147993207641299
fixed_peers_aligned_effects,shared,25,0.046666666666666669,14,300,0.027998933682334012,0.076797360227921052
fixed_peers_aligned_effects,shared,100,0.050000000000000003,15,300,0.030531640629347281,0.080847033472744148
fixed_peers_aligned_effects,shared,400,0.053333333333333337,16,300,0.033091912519096461,0.084869141774831333
fixed_peers_aligned_effects,distinct,25,0,0,300,8.6736173798840355e-19,0.012642971224546034
fixed_peers_aligned_effects,distinct,100,0,0,300,8.6736173798840355e-19,0.012642971224546034
fixed_peers_aligned_effects,distinct,400,0,0,300,8.6736173798840355e-19,0.012642971224546034
fixed_peers_opposed_effects,shared,25,0.053333333333333337,16,300,0.033091912519096461,0.084869141774831333
fixed_peers_opposed_effects,shared,100,0.053333333333333337,16,300,0.033091912519096461,0.084869141774831333
fixed_peers_opposed_effects,shared,400,0.056666666666666664,17,300,0.035677476463289511,0.088865958022474628
fixed_peers_opposed_effects,distinct,25,0.21666666666666667,65,300,0.17378783506983209,0.26670984862407732
fixed_peers_opposed_effects,distinct,100,0.52000000000000002,156,300,0.46357108201374059,0.57592319913727752
fixed_peers_opposed_effects,distinct,400,0.94666666666666666,284,300,0.9151308582251686,0.9669080874809034
