categories,validation_pairs,mass,fit_error,aggregate,rectangle
2,512,balanced,exact,0.01224104516126622,0.012335120486333616
2,512,balanced,opposite_direction,0.035329069309362464,0.020111146746153722
2,512,balanced,same_direction,0.017679564186735407,0.019876275614076677
2,512,one_heavy,exact,0.012639651966224399,0.012190227991065714
2,512,one_heavy,opposite_direction,0.035442041593885899,0.01975530278204635
2,512,one_heavy,same_direction,0.017524501979934937,0.019601571412520308
2,2048,balanced,exact,0.003019050303944169,0.0030739287763311366
2,2048,balanced,opposite_direction,0.015563511317973747,0.012527153990062913
2,2048,balanced,same_direction,0.0065031391081017808,0.0074452530811279323
2,2048,one_heavy,exact,0.0030909461331946647,0.003056412890431329
2,2048,one_heavy,opposite_direction,0.015482760559412331,0.012185415180528777
2,2048,one_heavy,same_direction,0.0065652004823020423,0.0073379770990460386
2,8192,balanced,exact,0.00075529152519370705,0.00076460492671221608
2,8192,balanced,opposite_direction,0.0072273077642536496,0.0068596712316754682
2,8192,balanced,same_direction,0.0027055205260757709,0.0030777735704418238
2,8192,one_heavy,exact,0.00077636008090567097,0.00075898769527456267
2,8192,one_heavy,opposite_direction,0.0072204403555259679,0.0066713633217699592
2,8192,one_heavy,same_direction,0.002700146827817065,0.003020353853207361
8,512,balanced,exact,0.023413023883170195,0.062505096757934253
8,512,balanced,opposite_direction,0.04212569734968806,0.062721400168900987
8,512,balanced,same_direction,0.026486713432588786,0.074591195743641092
8,512,one_heavy,exact,0.025548505236422336,0.058664378876535868
8,512,one_heavy,opposite_direction,0.043661101509842502,0.064574949466377443
8,512,one_heavy,same_direction,0.028431174990459607,0.071042747758844199
8,2048,balanced,exact,0.0056189509464678045,0.015480913069612381
8,2048,balanced,opposite_direction,0.01687201395555183,0.021264736505896234
8,2048,balanced,same_direction,0.0082169214550075233,0.023962682937384818
8,2048,one_heavy,exact,0.0057520457147045255,0.015417623642916737
8,2048,one_heavy,opposite_direction,0.016926838111585824,0.022036576988578846
8,2048,one_heavy,same_direction,0.0082389398537921973,0.021849764318939299
8,8192,balanced,exact,0.0013826429651378055,0.003869490669195104
8,8192,balanced,opposite_direction,0.007512005110399074,0.013705519703275092
8,8192,balanced,same_direction,0.0030914927497208812,0.0087801409997877722
8,8192,one_heavy,exact,0.001402694934930056,0.0038409107481273013
8,8192,one_heavy,opposite_direction,0.0075153328684809274,0.010470489447308225
8,8192,one_heavy,same_direction,0.0030670430411041238,0.0076714456096330418
32,512,balanced,exact,0.051335879888073824,0.24715229052881715
32,512,balanced,opposite_direction,0.064925847566188494,0.24722921019964347
32,512,balanced,same_direction,0.053129144746717212,0.25875799154085932
32,512,one_heavy,exact,0.066894617278660626,0.10901878160097518
32,512,one_heavy,opposite_direction,0.079273853100750968,0.11448898325506832
32,512,one_heavy,same_direction,0.070950228548463182,0.13078644921337379
32,2048,balanced,exact,0.010892470313021773,0.074932695810826094
32,2048,balanced,opposite_direction,0.020176826757228341,0.07491290772855666
32,2048,balanced,same_direction,0.012450461724580156,0.088055893210190431
32,2048,one_heavy,exact,0.012252107212891276,0.066071659597603694
32,2048,one_heavy,opposite_direction,0.02134610979584883,0.072866172564028525
32,2048,one_heavy,same_direction,0.013804948863401717,0.079111080732377048
32,8192,balanced,exact,0.0026016377486187464,0.018516804294397553
32,8192,balanced,opposite_direction,0.0081721986058786167,0.022422665893241711
32,8192,balanced,same_direction,0.0038700694105553604,0.027820664714365468
32,8192,one_heavy,exact,0.0026910125908127637,0.018573040682042311
32,8192,one_heavy,opposite_direction,0.0082099575501151344,0.023038579848240849
32,8192,one_heavy,same_direction,0.0039926178771188562,0.024224192982938215
128,512,balanced,exact,0.1691988622886165,0.34787051775105182
128,512,balanced,opposite_direction,0.17569728238905316,0.34784395121144618
128,512,balanced,same_direction,0.1720703175649281,0.35497442572691906
128,512,one_heavy,exact,0.10262690005549395,0.11120645255263392
128,512,one_heavy,opposite_direction,0.11719331956143395,0.11570994384136969
128,512,one_heavy,same_direction,0.11720820660226697,0.1335303349532298
128,2048,balanced,exact,0.024726382091347445,0.27247957191169403
128,2048,balanced,opposite_direction,0.031269992314421777,0.27254948842775489
128,2048,balanced,same_direction,0.025609808567432356,0.283377363876684
128,2048,one_heavy,exact,0.040263198534196278,0.10300476919081089
128,2048,one_heavy,opposite_direction,0.046530005265225785,0.1100162435455444
128,2048,one_heavy,same_direction,0.044030528941404717,0.1223077381326049
128,8192,balanced,exact,0.0051621267681088295,0.086882698990308566
128,8192,balanced,opposite_direction,0.0097166107047992542,0.086867981330992244
128,8192,balanced,same_direction,0.0059765076979872035,0.10124398835042106
128,8192,one_heavy,exact,0.0058856200034720172,0.072954594653497212
128,8192,one_heavy,opposite_direction,0.010426036086240357,0.077792267210678057
128,8192,one_heavy,same_direction,0.0066609591905172827,0.086482259657341978
