law,budget,replication,candidate,method,rule,center,radius,lower,theta,noncoverage,certifies
tied_null,3072,0,baseline_identity,shared_correction,range,0.0,0.0,0.0,0.0,False,False
tied_null,3072,0,baseline_identity,shared_correction,hybrid,0.0,0.0,0.0,0.0,False,False
tied_null,3072,0,baseline_identity,disjoint_triple_u,range,0.0,0.0,0.0,0.0,False,False
tied_null,3072,0,baseline_identity,disjoint_triple_u,hybrid,0.0,0.0,0.0,0.0,False,False
tied_null,3072,0,baseline_identity,complete_u,range,0.0,0.0,0.0,0.0,False,False
tied_null,3072,0,baseline_identity,complete_u,hybrid,0.0,0.0,0.0,0.0,False,False
tied_null,3072,0,candidate,shared_correction,range,-0.007357226107226107,0.24023329620311398,-0.2475905223103401,0.0,False,False
tied_null,3072,0,candidate,shared_correction,hybrid,-0.007357226107226107,0.13070903068926248,-0.1380662567964886,0.0,False,False
tied_null,3072,0,candidate,disjoint_triple_u,range,-0.002400716145833333,0.023128237301574973,-0.025528953447408305,0.0,False,False
tied_null,3072,0,candidate,disjoint_triple_u,hybrid,-0.002400716145833333,0.012752306748110061,-0.015153022893943394,0.0,False,False
tied_null,3072,0,candidate,complete_u,range,-0.0014700842101458922,0.023128237301574973,-0.024598321511720866,0.0,False,False
tied_null,3072,0,candidate,complete_u,hybrid,-0.0014700842101458922,0.011575776081449041,-0.013045860291594933,0.0,False,False
tied_null,3072,0,reverse_candidate,shared_correction,range,0.007357226107226107,0.24023329620311398,-0.23287607009588787,0.0,False,False
tied_null,3072,0,reverse_candidate,shared_correction,hybrid,0.007357226107226107,0.13070903068926248,-0.12335180458203637,0.0,False,False
tied_null,3072,0,reverse_candidate,disjoint_triple_u,range,0.002400716145833333,0.023128237301574973,-0.02072752115574164,0.0,False,False
tied_null,3072,0,reverse_candidate,disjoint_triple_u,hybrid,0.002400716145833333,0.012752306748110061,-0.01035159060227673,0.0,False,False
tied_null,3072,0,reverse_candidate,complete_u,range,0.0014700842101458922,0.023128237301574973,-0.02165815309142908,0.0,False,False
tied_null,3072,0,reverse_candidate,complete_u,hybrid,0.0014700842101458922,0.011575776081449041,-0.01010569187130315,0.0,False,False
tied_null,3072,0,constant,shared_correction,range,0.0,0.24023329620311398,-0.24023329620311398,0.0,False,False
tied_null,3072,0,constant,shared_correction,hybrid,0.0,0.0917753185522251,-0.0917753185522251,0.0,False,False
tied_null,3072,0,constant,disjoint_triple_u,range,0.0,0.023128237301574973,-0.023128237301574973,0.0,False,False
tied_null,3072,0,constant,disjoint_triple_u,hybrid,0.0,0.006578404524365657,-0.006578404524365657,0.0,False,False
tied_null,3072,0,constant,complete_u,range,0.0,0.023128237301574973,-0.023128237301574973,0.0,False,False
tied_null,3072,0,constant,complete_u,hybrid,0.0,0.005784683639149605,-0.005784683639149605,0.0,False,False
tied_null,3072,1,baseline_identity,shared_correction,range,0.0,0.0,0.0,0.0,False,False
tied_null,3072,1,baseline_identity,shared_correction,hybrid,0.0,0.0,0.0,0.0,False,False
tied_null,3072,1,baseline_identity,disjoint_triple_u,range,0.0,0.0,0.0,0.0,False,False
tied_null,3072,1,baseline_identity,disjoint_triple_u,hybrid,0.0,0.0,0.0,0.0,False,False
tied_null,3072,1,baseline_identity,complete_u,range,0.0,0.0,0.0,0.0,False,False
tied_null,3072,1,baseline_identity,complete_u,hybrid,0.0,0.0,0.0,0.0,False,False
tied_null,3072,1,candidate,shared_correction,range,-0.011571761571761572,0.24023329620311398,-0.25180505777487555,0.0,False,False
tied_null,3072,1,candidate,shared_correction,hybrid,-0.011571761571761572,0.13050331701254259,-0.14207507858430415,0.0,False,False
tied_null,3072,1,candidate,disjoint_triple_u,range,0.0006917317708333337,0.023128237301574973,-0.02243650553074164,0.0,False,False
tied_null,3072,1,candidate,disjoint_triple_u,hybrid,0.0006917317708333337,0.012546203700980873,-0.011854471930147539,0.0,False,False
tied_null,3072,1,candidate,complete_u,range,0.0004938881294115188,0.023128237301574973,-0.022634349172163455,0.0,False,False
tied_null,3072,1,candidate,complete_u,hybrid,0.0004938881294115188,0.01138245235274236,-0.010888564223330842,0.0,False,False
tied_null,3072,1,reverse_candidate,shared_correction,range,0.011571761571761572,0.24023329620311398,-0.22866153463135241,0.0,False,False
tied_null,3072,1,reverse_candidate,shared_correction,hybrid,0.011571761571761572,0.13050331701254259,-0.11893155544078102,0.0,False,False
tied_null,3072,1,reverse_candidate,disjoint_triple_u,range,-0.0006917317708333337,0.023128237301574973,-0.023819969072408305,0.0,False,False
tied_null,3072,1,reverse_candidate,disjoint_triple_u,hybrid,-0.0006917317708333337,0.012546203700980873,-0.013237935471814207,0.0,False,False
tied_null,3072,1,reverse_candidate,complete_u,range,-0.0004938881294115188,0.023128237301574973,-0.02362212543098649,0.0,False,False
tied_null,3072,1,reverse_candidate,complete_u,hybrid,-0.0004938881294115188,0.01138245235274236,-0.01187634048215388,0.0,False,False
tied_null,3072,1,constant,shared_correction,range,0.0,0.24023329620311398,-0.24023329620311398,0.0,False,False
tied_null,3072,1,constant,shared_correction,hybrid,0.0,0.0917753185522251,-0.0917753185522251,0.0,False,False
tied_null,3072,1,constant,disjoint_triple_u,range,0.0,0.023128237301574973,-0.023128237301574973,0.0,False,False
tied_null,3072,1,constant,disjoint_triple_u,hybrid,0.0,0.006578404524365657,-0.006578404524365657,0.0,False,False
tied_null,3072,1,constant,complete_u,range,0.0,0.023128237301574973,-0.023128237301574973,0.0,False,False
tied_null,3072,1,constant,complete_u,hybrid,0.0,0.005784683639149605,-0.005784683639149605,0.0,False,False
tied_null,3072,2,baseline_identity,shared_correction,range,0.0,0.0,0.0,0.0,False,False
tied_null,3072,2,baseline_identity,shared_correction,hybrid,0.0,0.0,0.0,0.0,False,False
tied_null,3072,2,baseline_identity,disjoint_triple_u,range,0.0,0.0,0.0,0.0,False,False
tied_null,3072,2,baseline_identity,disjoint_triple_u,hybrid,0.0,0.0,0.0,0.0,False,False
tied_null,3072,2,baseline_identity,complete_u,range,0.0,0.0,0.0,0.0,False,False
tied_null,3072,2,baseline_identity,complete_u,hybrid,0.0,0.0,0.0,0.0,False,False
tied_null,3072,2,candidate,shared_correction,range,-0.010152347652347652,0.24023329620311398,-0.25038564385546164,0.0,False,False
tied_null,3072,2,candidate,shared_correction,hybrid,-0.010152347652347652,0.13036751440625763,-0.14051986205860528,0.0,False,False
tied_null,3072,2,candidate,disjoint_triple_u,range,-0.002278645833333333,0.023128237301574973,-0.025406883134908305,0.0,False,False
tied_null,3072,2,candidate,disjoint_triple_u,hybrid,-0.002278645833333333,0.012729560081736858,-0.01500820591507019,0.0,False,False
tied_null,3072,2,candidate,complete_u,range,-0.0019965258902941638,0.023128237301574973,-0.025124763191869137,0.0,False,False
tied_null,3072,2,candidate,complete_u,hybrid,-0.0019965258902941638,0.011554439810975765,-0.01355096570126993,0.0,False,False
tied_null,3072,2,reverse_candidate,shared_correction,range,0.010152347652347652,0.24023329620311398,-0.23008094855076633,0.0,False,False
tied_null,3072,2,reverse_candidate,shared_correction,hybrid,0.010152347652347652,0.13036751440625763,-0.12021516675390997,0.0,False,False
tied_null,3072,2,reverse_candidate,disjoint_triple_u,range,0.002278645833333333,0.023128237301574973,-0.02084959146824164,0.0,False,False
tied_null,3072,2,reverse_candidate,disjoint_triple_u,hybrid,0.002278645833333333,0.012729560081736858,-0.010450914248403526,0.0,False,False
tied_null,3072,2,reverse_candidate,complete_u,range,0.0019965258902941638,0.023128237301574973,-0.02113171141128081,0.0,False,False
tied_null,3072,2,reverse_candidate,complete_u,hybrid,0.0019965258902941638,0.011554439810975765,-0.009557913920681602,0.0,False,False
tied_null,3072,2,constant,shared_correction,range,0.0,0.24023329620311398,-0.24023329620311398,0.0,False,False
tied_null,3072,2,constant,shared_correction,hybrid,0.0,0.0917753185522251,-0.0917753185522251,0.0,False,False
tied_null,3072,2,constant,disjoint_triple_u,range,0.0,0.023128237301574973,-0.023128237301574973,0.0,False,False
tied_null,3072,2,constant,disjoint_triple_u,hybrid,0.0,0.006578404524365657,-0.006578404524365657,0.0,False,False
tied_null,3072,2,constant,complete_u,range,0.0,0.023128237301574973,-0.023128237301574973,0.0,False,False
tied_null,3072,2,constant,complete_u,hybrid,0.0,0.005784683639149605,-0.005784683639149605,0.0,False,False
tied_null,3072,3,baseline_identity,shared_correction,range,0.0,0.0,0.0,0.0,False,False
tied_null,3072,3,baseline_identity,shared_correction,hybrid,0.0,0.0,0.0,0.0,False,False
tied_null,3072,3,baseline_identity,disjoint_triple_u,range,0.0,0.0,0.0,0.0,False,False
tied_null,3072,3,baseline_identity,disjoint_triple_u,hybrid,0.0,0.0,0.0,0.0,False,False
tied_null,3072,3,baseline_identity,complete_u,range,0.0,0.0,0.0,0.0,False,False
tied_null,3072,3,baseline_identity,complete_u,hybrid,0.0,0.0,0.0,0.0,False,False
tied_null,3072,3,candidate,shared_correction,range,-0.0036172161172161174,0.24023329620311398,-0.2438505123203301,0.0,False,False
tied_null,3072,3,candidate,shared_correction,hybrid,-0.0036172161172161174,0.13043614742581539,-0.1340533635430315,0.0,False,False
tied_null,3072,3,candidate,disjoint_triple_u,range,-0.0011800130208333335,0.023128237301574973,-0.024308250322408305,0.0,False,False
tied_null,3072,3,candidate,disjoint_triple_u,hybrid,-0.0011800130208333335,0.01266588498760814,-0.013845898008441474,0.0,False,False
tied_null,3072,3,candidate,complete_u,range,-0.002077910725264161,0.023128237301574973,-0.025206148026839133,0.0,False,False
tied_null,3072,3,candidate,complete_u,hybrid,-0.002077910725264161,0.011494712859850213,-0.013572623585114373,0.0,False,False
tied_null,3072,3,reverse_candidate,shared_correction,range,0.0036172161172161174,0.24023329620311398,-0.23661608008589788,0.0,False,False
tied_null,3072,3,reverse_candidate,shared_correction,hybrid,0.0036172161172161174,0.13043614742581539,-0.12681893130859928,0.0,False,False
tied_null,3072,3,reverse_candidate,disjoint_triple_u,range,0.0011800130208333335,0.023128237301574973,-0.02194822428074164,0.0,False,False
tied_null,3072,3,reverse_candidate,disjoint_triple_u,hybrid,0.0011800130208333335,0.01266588498760814,-0.011485871966774806,0.0,False,False
tied_null,3072,3,reverse_candidate,complete_u,range,0.002077910725264161,0.023128237301574973,-0.021050326576310813,0.0,False,False
tied_null,3072,3,reverse_candidate,complete_u,hybrid,0.002077910725264161,0.011494712859850213,-0.009416802134586053,0.0,False,False
tied_null,3072,3,constant,shared_correction,range,0.0,0.24023329620311398,-0.24023329620311398,0.0,False,False
tied_null,3072,3,constant,shared_correction,hybrid,0.0,0.0917753185522251,-0.0917753185522251,0.0,False,False
tied_null,3072,3,constant,disjoint_triple_u,range,0.0,0.023128237301574973,-0.023128237301574973,0.0,False,False
tied_null,3072,3,constant,disjoint_triple_u,hybrid,0.0,0.006578404524365657,-0.006578404524365657,0.0,False,False
tied_null,3072,3,constant,complete_u,range,0.0,0.023128237301574973,-0.023128237301574973,0.0,False,False
tied_null,3072,3,constant,complete_u,hybrid,0.0,0.005784683639149605,-0.005784683639149605,0.0,False,False
tied_null,3072,4,baseline_identity,shared_correction,range,0.0,0.0,0.0,0.0,False,False
tied_null,3072,4,baseline_identity,shared_correction,hybrid,0.0,0.0,0.0,0.0,False,False
tied_null,3072,4,baseline_identity,disjoint_triple_u,range,0.0,0.0,0.0,0.0,False,False
tied_null,3072,4,baseline_identity,disjoint_triple_u,hybrid,0.0,0.0,0.0,0.0,False,False
tied_null,3072,4,baseline_identity,complete_u,range,0.0,0.0,0.0,0.0,False,False
tied_null,3072,4,baseline_identity,complete_u,hybrid,0.0,0.0,0.0,0.0,False,False
tied_null,3072,4,candidate,shared_correction,range,-0.0024475524475524473,0.24023329620311398,-0.24268084865066644,0.0,False,False
tied_null,3072,4,candidate,shared_correction,hybrid,-0.0024475524475524473,0.13041519882583874,-0.1328627512733912,0.0,False,False
tied_null,3072,4,candidate,disjoint_triple_u,range,0.0002441406250000001,0.023128237301574973,-0.022884096676574973,0.0,False,False
tied_null,3072,4,candidate,disjoint_triple_u,hybrid,0.0002441406250000001,0.012624578256925395,-0.012380437631925395,0.0,False,False
tied_null,3072,4,candidate,complete_u,range,-0.00014101670038228008,0.023128237301574973,-0.023269254001957253,0.0,False,False
tied_null,3072,4,candidate,complete_u,hybrid,-0.00014101670038228008,0.011455967332758294,-0.011596984033140575,0.0,False,False
tied_null,3072,4,reverse_candidate,shared_correction,range,0.0024475524475524473,0.24023329620311398,-0.23778574375556152,0.0,False,False
tied_null,3072,4,reverse_candidate,shared_correction,hybrid,0.0024475524475524473,0.13041519882583874,-0.12796764637828628,0.0,False,False
tied_null,3072,4,reverse_candidate,disjoint_triple_u,range,-0.0002441406250000001,0.023128237301574973,-0.023372377926574973,0.0,False,False
tied_null,3072,4,reverse_candidate,disjoint_triple_u,hybrid,-0.0002441406250000001,0.012624578256925395,-0.012868718881925395,0.0,False,False
tied_null,3072,4,reverse_candidate,complete_u,range,0.00014101670038228008,0.023128237301574973,-0.022987220601192692,0.0,False,False
tied_null,3072,4,reverse_candidate,complete_u,hybrid,0.00014101670038228008,0.011455967332758294,-0.011314950632376013,0.0,False,False
tied_null,3072,4,constant,shared_correction,range,0.0,0.24023329620311398,-0.24023329620311398,0.0,False,False
tied_null,3072,4,constant,shared_correction,hybrid,0.0,0.0917753185522251,-0.0917753185522251,0.0,False,False
tied_null,3072,4,constant,disjoint_triple_u,range,0.0,0.023128237301574973,-0.023128237301574973,0.0,False,False
tied_null,3072,4,constant,disjoint_triple_u,hybrid,0.0,0.006578404524365657,-0.006578404524365657,0.0,False,False
tied_null,3072,4,constant,complete_u,range,0.0,0.023128237301574973,-0.023128237301574973,0.0,False,False
tied_null,3072,4,constant,complete_u,hybrid,0.0,0.005784683639149605,-0.005784683639149605,0.0,False,False
tied_null,3072,5,baseline_identity,shared_correction,range,0.0,0.0,0.0,0.0,False,False
tied_null,3072,5,baseline_identity,shared_correction,hybrid,0.0,0.0,0.0,0.0,False,False
tied_null,3072,5,baseline_identity,disjoint_triple_u,range,0.0,0.0,0.0,0.0,False,False
tied_null,3072,5,baseline_identity,disjoint_triple_u,hybrid,0.0,0.0,0.0,0.0,False,False
tied_null,3072,5,baseline_identity,complete_u,range,0.0,0.0,0.0,0.0,False,False
tied_null,3072,5,baseline_identity,complete_u,hybrid,0.0,0.0,0.0,0.0,False,False
tied_null,3072,5,candidate,shared_correction,range,0.010955710955710955,0.24023329620311398,-0.22927758524740302,0.0,False,False
tied_null,3072,5,candidate,shared_correction,hybrid,0.010955710955710955,0.13106934623912514,-0.12011363528341418,0.0,False,False
tied_null,3072,5,candidate,disjoint_triple_u,range,-0.0002848307291666663,0.023128237301574973,-0.02341306803074164,0.0,False,False
tied_null,3072,5,candidate,disjoint_triple_u,hybrid,-0.0002848307291666663,0.012726473761228648,-0.013011304490395314,0.0,False,False
tied_null,3072,5,candidate,complete_u,range,-0.00030982179195477216,0.023128237301574973,-0.023438059093529744,0.0,False,False
tied_null,3072,5,candidate,complete_u,hybrid,-0.00030982179195477216,0.01155154485625801,-0.011861366648212782,0.0,False,False
tied_null,3072,5,reverse_candidate,shared_correction,range,-0.010955710955710955,0.24023329620311398,-0.2511890071588249,0.0,False,False
tied_null,3072,5,reverse_candidate,shared_correction,hybrid,-0.010955710955710955,0.13106934623912514,-0.1420250571948361,0.0,False,False
tied_null,3072,5,reverse_candidate,disjoint_triple_u,range,0.0002848307291666663,0.023128237301574973,-0.022843406572408305,0.0,False,False
tied_null,3072,5,reverse_candidate,disjoint_triple_u,hybrid,0.0002848307291666663,0.012726473761228648,-0.012441643032061982,0.0,False,False
tied_null,3072,5,reverse_candidate,complete_u,range,0.00030982179195477216,0.023128237301574973,-0.022818415509620202,0.0,False,False
tied_null,3072,5,reverse_candidate,complete_u,hybrid,0.00030982179195477216,0.01155154485625801,-0.011241723064303237,0.0,False,False
tied_null,3072,5,constant,shared_correction,range,0.0,0.24023329620311398,-0.24023329620311398,0.0,False,False
tied_null,3072,5,constant,shared_correction,hybrid,0.0,0.0917753185522251,-0.0917753185522251,0.0,False,False
tied_null,3072,5,constant,disjoint_triple_u,range,0.0,0.023128237301574973,-0.023128237301574973,0.0,False,False
tied_null,3072,5,constant,disjoint_triple_u,hybrid,0.0,0.006578404524365657,-0.006578404524365657,0.0,False,False
tied_null,3072,5,constant,complete_u,range,0.0,0.023128237301574973,-0.023128237301574973,0.0,False,False
tied_null,3072,5,constant,complete_u,hybrid,0.0,0.005784683639149605,-0.005784683639149605,0.0,False,False
tied_null,3072,6,baseline_identity,shared_correction,range,0.0,0.0,0.0,0.0,False,False
tied_null,3072,6,baseline_identity,shared_correction,hybrid,0.0,0.0,0.0,0.0,False,False
tied_null,3072,6,baseline_identity,disjoint_triple_u,range,0.0,0.0,0.0,0.0,False,False
tied_null,3072,6,baseline_identity,disjoint_triple_u,hybrid,0.0,0.0,0.0,0.0,False,False
tied_null,3072,6,baseline_identity,complete_u,range,0.0,0.0,0.0,0.0,False,False
tied_null,3072,6,baseline_identity,complete_u,hybrid,0.0,0.0,0.0,0.0,False,False
tied_null,3072,6,candidate,shared_correction,range,-0.004545454545454545,0.24023329620311398,-0.24477875074856853,0.0,False,False
tied_null,3072,6,candidate,shared_correction,hybrid,-0.004545454545454545,0.13097865938296188,-0.13552411392841643,0.0,False,False
tied_null,3072,6,candidate,disjoint_triple_u,range,0.0023193359375,0.023128237301574973,-0.020808901364074973,0.0,False,False
tied_null,3072,6,candidate,disjoint_triple_u,hybrid,0.0023193359375,0.012643305236770487,-0.010323969299270487,0.0,False,False
tied_null,3072,6,candidate,complete_u,range,0.0007885007078809339,0.023128237301574973,-0.022339736593694037,0.0,False,False
tied_null,3072,6,candidate,complete_u,hybrid,0.0007885007078809339,0.011473533155396516,-0.010685032447515582,0.0,False,False
tied_null,3072,6,reverse_candidate,shared_correction,range,0.004545454545454545,0.24023329620311398,-0.23568784165765944,0.0,False,False
tied_null,3072,6,reverse_candidate,shared_correction,hybrid,0.004545454545454545,0.13097865938296188,-0.12643320483750733,0.0,False,False
tied_null,3072,6,reverse_candidate,disjoint_triple_u,range,-0.0023193359375,0.023128237301574973,-0.025447573239074973,0.0,False,False
tied_null,3072,6,reverse_candidate,disjoint_triple_u,hybrid,-0.0023193359375,0.012643305236770487,-0.014962641174270487,0.0,False,False
tied_null,3072,6,reverse_candidate,complete_u,range,-0.0007885007078809339,0.023128237301574973,-0.023916738009455908,0.0,False,False
tied_null,3072,6,reverse_candidate,complete_u,hybrid,-0.0007885007078809339,0.011473533155396516,-0.01226203386327745,0.0,False,False
tied_null,3072,6,constant,shared_correction,range,0.0,0.24023329620311398,-0.24023329620311398,0.0,False,False
tied_null,3072,6,constant,shared_correction,hybrid,0.0,0.0917753185522251,-0.0917753185522251,0.0,False,False
tied_null,3072,6,constant,disjoint_triple_u,range,0.0,0.023128237301574973,-0.023128237301574973,0.0,False,False
tied_null,3072,6,constant,disjoint_triple_u,hybrid,0.0,0.006578404524365657,-0.006578404524365657,0.0,False,False
tied_null,3072,6,constant,complete_u,range,0.0,0.023128237301574973,-0.023128237301574973,0.0,False,False
tied_null,3072,6,constant,complete_u,hybrid,0.0,0.005784683639149605,-0.005784683639149605,0.0,False,False
tied_null,3072,7,baseline_identity,shared_correction,range,0.0,0.0,0.0,0.0,False,False
tied_null,3072,7,baseline_identity,shared_correction,hybrid,0.0,0.0,0.0,0.0,False,False
