method,bound,candidate,number_passing,passing_candidates
shared_original,hybrid,persistence,0,
shared_original,hoeffding,persistence,0,
shared_pruned_same_counts,hybrid,persistence,0,
shared_pruned_same_counts,hoeffding,persistence,0,
shared_pruned_allocated,hybrid,persistence,0,
shared_pruned_allocated,hoeffding,persistence,0,
direct_triple_u,hybrid,boosting_31,3,ridge_1;ridge_100;boosting_31
direct_triple_u,hoeffding,persistence,0,
complete_pooled_u,variance,boosting_31,4,ridge_1;ridge_100;boosting_7;boosting_31
complete_pooled_u,hoeffding,persistence,0,
census,exact,boosting_31,7,ridge_1;ridge_100;boosting_7;boosting_31;blend_ridge_1;blend_boosting_7;blend_boosting_31
