task,baseline,candidate,raw_draw_calls,distinct_sampled_rows,p_min_x,missing_mass,pairs,allocation_factor,method,p,lower,estimate,pair_methods_seconds,full_u_all_delete_seconds,fractions,used_categories,additional_raw_rows,total_raw_rows_charged,partial_shifted_mean_cap,decimal_precision,certificate,p_value,log_e_lower,objective_lower,objective_upper,objective_gap,profiles,status,elapsed_seconds,radius,jackknife_variance,eb_linear_remainder,full_u_eb_union_p,full_u_hoeffding_union_p,p_BY,retained,exact_archive_target_fraction,exact_archive_target,exact_target_sign,archive_rows,p_min_y,frozen_augmentation_weight,frozen_confirmation_rows,frozen_confirmation_mse,frozen_baseline_confirmation_mse,descriptive_frozen_confirmation_gain,descriptive_gain_sign
appliances,ridge,category_copy,32768,336,0.0029761904761904,0.0,8184,0.0001222890286706,full_u_joint,1.0,-1.2618617433036614,0.0010627609061301,0.163050502538681,33.79527961462736,,,,,,,,,,,,,,,,1.2629245042097914,2.081611325116991e-06,0.3156363219914226,1.0,1.0,1.0,False,0,0.0,zero,336,0.002976190476190476,0.05,1008,0.022732291520320407,0.02080395995948887,-0.0019283315608315359,negative
appliances,ridge,category_copy,32768,336,0.0029761904761904,0.0,8184,0.0001222890286706,stratified_cell_bernstein,1.0,-0.0664711870120169,0.0,0.163050502538681,33.79527864232659,,,,,,,,,,,,,,,,,,,,,1.0,False,0,0.0,zero,336,0.002976190476190476,0.05,1008,0.022732291520320407,0.02080395995948887,-0.0019283315608315359,negative
appliances,ridge,category_copy,32768,336,0.0029761904761904,0.0,8184,0.0001222890286706,stratified_hoeffding,1.0,-0.0135341270477703,0.0,0.163050502538681,33.795276779681444,,,,,,,,,,,,,,,,,,,,,1.0,False,0,0.0,zero,336,0.002976190476190476,0.05,1008,0.022732291520320407,0.02080395995948887,-0.0019283315608315359,negative
appliances,ridge,category_copy,32768,336,0.0029761904761904,0.0,8184,0.0001222890286706,stratified_hybrid,1.0,-0.0015217229647071,0.0,0.163050502538681,33.79527898132801,,,,,,,,,,,,,,,,,,,,,1.0,False,0,0.0,zero,336,0.002976190476190476,0.05,1008,0.022732291520320407,0.02080395995948887,-0.0019283315608315359,negative
appliances,ridge,category_copy,32768,336,0.0029761904761904,0.0,8184,0.0001222890286706,stratified_pooled_bernstein,1.0,-0.001281017448626,0.0,0.163050502538681,33.79527819901705,,,,,,,,,,,,,,,,,,,,,1.0,False,0,0.0,zero,336,0.002976190476190476,0.05,1008,0.022732291520320407,0.02080395995948887,-0.0019283315608315359,negative
appliances,ridge,category_copy,32768,336,0.0029761904761904,0.0,8184,0.0001222890286706,stratified_profiled_betting,1.0,,,0.163050502538681,33.79527932405472,"['1/10', '3/10', '1/2', '7/10', '9/10']",31.0,0.0,32768.0,0.5,60.0,exact-rational tangent LP; outward Decimal logarithms,1.0,-0.9346539068534024,-0.9346539068534024,-0.929305696001537,0.0053482108518652,"[{'fraction': '1/10', 'log_e_lower': -0.17938325684507536, 'primal_log_e_upper': -0.1730508584894616, 'certified_optimization_gap_upper': 0.006332398355613704, 'optimizer_success': True, 'optimizer_status': 'Optimization terminated successfully', 'optimizer_iterations': 75, 'objective_evaluations': 76, 'feasible_mean_vector': [0.4934412038594969, 0.48765343282807916, 0.5175361960449584, 0.5011792138750712, 0.5104973221502992, 0.501057794205317, 0.50965903607965, 0.5015950270838324, 0.4914911538861158, 0.5092382087443165, 0.5008170803001216, 0.4976361679377678, 0.5038876379676168, 0.49419589458840757, 0.48676172967356035, 0.5090808498418383, 0.4961829277074694, 0.5028371789753204, 0.5058842216442264, 0.5003084583326575, 0.5009202257218168, 0.5039874214757528, 0.5026640330606063, 0.5023616456934886, 0.5154064835406645, 0.49539963257029823, 0.49618581189635885, 0.4934412038594968, 0.4506651430040223, 0.4875150238330673, 0.5244230816985322]}, {'fraction': '3/10', 'log_e_lower': -0.5841758710260555, 'primal_log_e_upper': -0.580167165710628, 'certified_optimization_gap_upper': 0.004008705315427251, 'optimizer_success': True, 'optimizer_status': 'Optimization terminated successfully', 'optimizer_iterations': 59, 'objective_evaluations': 59, 'feasible_mean_vector': [0.492683382309047, 0.48619104347090475, 0.5195846108673352, 0.5013161148130804, 0.511735952520323, 0.5011769292042125, 0.5107522263455312, 0.5017792979895551, 0.49049313957004653, 0.5103211183346846, 0.5009211580640264, 0.49734674034936804, 0.5043579931921215, 0.4935135649957803, 0.48521098235546206, 0.5101509828692758, 0.49572842472920087, 0.5031676683663966, 0.5065782316863157, 0.5003460798979549, 0.5010265664675793, 0.5044491694326353, 0.5029838167561692, 0.5026394042530266, 0.5172356423747306, 0.4948592134142626, 0.4957300826058805, 0.49268338230904707, 0.44493672819232233, 0.48604803825435716, 0.5273323115305801]}, {'fraction': '1/2', 'log_e_lower': -1.1006808150556318, 'primal_log_e_upper': -1.0955416179935964, 'certified_optimization_gap_upper': 0.005139197062034821, 'optimizer_success': True, 'optimizer_status': 'Optimization terminated successfully', 'optimizer_iterations': 55, 'objective_evaluations': 56, 'feasible_mean_vector': [0.4917059917709642, 0.48436006970867707, 0.5222190634001086, 0.5014864558868968, 0.5133054299735467, 0.5013287809050568, 0.5121867791757618, 0.5020115819724013, 0.48922735132560796, 0.5116997976553351, 0.5010383026438977, 0.49698920540885694, 0.5049345879587722, 0.49264574067089556, 0.4832512517504001, 0.5115075388003064, 0.4951549198533376, 0.5035855592361826, 0.5074530776488304, 0.5003836412343176, 0.5011585945595967, 0.505039660192038, 0.5033766711368084, 0.5029864349803794, 0.5195513039814549, 0.494171022376043, 0.49515633714863055, 0.4917059917709642, 0.4378447974441824, 0.48419918501241443, 0.5310269752179891]}, {'fraction': '7/10', 'log_e_lower': -1.7736884786566227, 'primal_log_e_upper': -1.768564737239953, 'certified_optimization_gap_upper': 0.005123741416669174, 'optimizer_success': True, 'optimizer_status': 'Optimization terminated successfully', 'optimizer_iterations': 53, 'objective_evaluations': 53, 'feasible_mean_vector': [0.4904257546927649, 0.48197910759872264, 0.5256961805624952, 0.5017020852879576, 0.5153652157344559, 0.5015200796541356, 0.5140675841673341, 0.5023081105858124, 0.48757464432434655, 0.5135065537052641, 0.501183605141868, 0.4965130137356252, 0.5056825422657646, 0.49150955660741896, 0.4807056640358908, 0.5132850835957694, 0.49439928037299447, 0.5041248922086964, 0.5085939293538301, 0.5004294952571714, 0.501322862630943, 0.5058042299431377, 0.5038841800514551, 0.5034336595084782, 0.5226039181176343, 0.4932654271152542, 0.4944003442573307, 0.49042575469276484, 0.4289104510975723, 0.4817933309535193, 0.5359311083572315]}, {'fraction': '9/10', 'log_e_lower': -2.689605961745914, 'primal_log_e_upper': -2.6838014028560684, 'certified_optimization_gap_upper': 0.005804558889844619, 'optimizer_success': True, 'optimizer_status': 'Optimization terminated successfully', 'optimizer_iterations': 52, 'objective_evaluations': 52, 'feasible_mean_vector': [0.4886771176217668, 0.4787653526124306, 0.5305219356211883, 0.5019778598505017, 0.5181915404137724, 0.5017629155910741, 0.5166454312335085, 0.5026947044182754, 0.48532709356084536, 0.5159791525048947, 0.5013640858089389, 0.49584818282335236, 0.5066895610417333, 0.4899530786943067, 0.47727420773146834, 0.5157156998793953, 0.493355817528996, 0.5048447462554276, 0.5101423347976399, 0.500473790053354, 0.5015290536572805, 0.5068340190178647, 0.5045597193733604, 0.5040265707321934, 0.526825528613949, 0.4920197828439029, 0.49335651425035376, 0.48867711762176674, 0.4174748342756257, 0.4785472702061791, 0.5427972999444804]}]",certified_lower_evidence,0.1432741172611713,,,,,,1.0,False,0,0.0,zero,336,0.002976190476190476,0.05,1008,0.022732291520320407,0.02080395995948887,-0.0019283315608315359,negative
appliances,ridge,extra_trees,32768,336,0.0029761904761904,0.0,8184,0.0001222890286706,full_u_joint,1.0,-1.251884607047661,0.0110398971621304,0.2090854831039905,33.886614732444286,,,,,,,,,,,,,,,,1.2629245042097914,2.1135278092609706e-06,0.3156363219914226,1.0,1.0,1.0,False,39354716711/3995716386816,0.00984922674713656,positive,336,0.002976190476190476,1.0,1008,0.017276876960937562,0.02080395995948887,0.0035270829985513084,positive
appliances,ridge,extra_trees,32768,336,0.0029761904761904,0.0,8184,0.0001222890286706,stratified_cell_bernstein,1.0,-0.0715430275526426,0.0093355837218842,0.2090854831039905,33.88661389052868,,,,,,,,,,,,,,,,,,,,,1.0,False,39354716711/3995716386816,0.00984922674713656,positive,336,0.002976190476190476,1.0,1008,0.017276876960937562,0.02080395995948887,0.0035270829985513084,positive
appliances,ridge,extra_trees,32768,336,0.0029761904761904,0.0,8184,0.0001222890286706,stratified_hoeffding,0.2404211939760369,-0.004198543325886,0.0093355837218842,0.2090854831039905,33.88661224767566,,,,,,,,,,,,,,,,,,,,,1.0,False,39354716711/3995716386816,0.00984922674713656,positive,336,0.002976190476190476,1.0,1008,0.017276876960937562,0.02080395995948887,0.0035270829985513084,positive
appliances,ridge,extra_trees,32768,336,0.0029761904761904,0.0,8184,0.0001222890286706,stratified_hybrid,3.483006775870372e-06,0.0052977791824368,0.0093355837218842,0.2090854831039905,33.8866140730679,,,,,,,,,,,,,,,,,,,,,3.786525937767647e-05,True,39354716711/3995716386816,0.00984922674713656,positive,336,0.002976190476190476,1.0,1008,0.017276876960937562,0.02080395995948887,0.0035270829985513084,positive
