task,baseline,candidate,exact_archive_target_fraction,exact_archive_target,exact_target_sign,archive_rows,p_min,frozen_augmentation_weight,frozen_confirmation_rows,frozen_confirmation_mse,frozen_baseline_confirmation_mse,descriptive_frozen_confirmation_gain,descriptive_gain_sign
appliances,ridge,persistence,731831079233/39957163868160,0.018315390993407368,positive,336,0.002976190476190476,0.05,1008,0.02044743804014141,0.02080395995948887,0.0003565219193474613,positive
appliances,ridge,seasonal_day,62177842453/8879369748480,0.007002506283021248,positive,336,0.002976190476190476,0.0,1008,0.02080395995948887,0.02080395995948887,0.0,numerical_tie
appliances,ridge,seasonal_week,-311386495127/39957163868160,-0.00779300793605948,negative,336,0.002976190476190476,0.1,1008,0.020214654935871268,0.02080395995948887,0.0005893050236176027,positive
appliances,ridge,ridge_full,46241423929/39957163868160,0.001157274927759516,positive,336,0.002976190476190476,0.0,1008,0.02080395995948887,0.02080395995948887,0.0,numerical_tie
appliances,ridge,hist_gradient_boosting,72341480405/7991432773632,0.009052379273425554,positive,336,0.002976190476190476,0.65,1008,0.0180490499477299,0.02080395995948887,0.0027549100117589716,positive
appliances,ridge,extra_trees,39354716711/3995716386816,0.00984922674713656,positive,336,0.002976190476190476,1.0,1008,0.017276876960937562,0.02080395995948887,0.0035270829985513084,positive
appliances,ridge,category_copy,0,0.0,zero,336,0.002976190476190476,0.05,1008,0.022732291520320407,0.02080395995948887,-0.0019283315608315359,negative
appliances,ridge,independent_noise,-13498811537/39957163868160,-0.0003378320739064409,negative,336,0.002976190476190476,0.0,1008,0.02080395995948887,0.02080395995948887,0.0,numerical_tie
appliances,seasonal_day,persistence,29293610324633/697147359068160,0.04201925165977566,positive,336,0.005952380952380952,0.7,1008,0.02056736920938261,0.04129839692198081,0.020731027712598202,positive
appliances,seasonal_day,seasonal_day,797082257723/2788589436272640,0.0002858370785440605,positive,336,0.005952380952380952,0.0,1008,0.04129839692198081,0.04129839692198081,0.0,numerical_tie
appliances,seasonal_day,seasonal_week,28047079317311/2788589436272640,0.010057801608400285,positive,336,0.005952380952380952,0.65,1008,0.028796925754577603,0.04129839692198081,0.01250147116740321,positive
appliances,seasonal_day,ridge_full,20145417823/660177423360,0.030515157153465006,positive,336,0.005952380952380952,0.95,1008,0.023903569716204786,0.04129839692198081,0.017394827205776026,positive
