task,baseline,method,family_size,retained,BY_q
appliances,ridge,full_u_joint,8,0,0.05
appliances,ridge,stratified_cell_bernstein,8,0,0.05
appliances,ridge,stratified_hoeffding,8,0,0.05
appliances,ridge,stratified_hybrid,8,4,0.05
appliances,ridge,stratified_pooled_bernstein,8,4,0.05
appliances,ridge,stratified_profiled_betting,8,4,0.05
appliances,seasonal_day,full_u_joint,8,0,0.05
appliances,seasonal_day,stratified_cell_bernstein,8,0,0.05
appliances,seasonal_day,stratified_hoeffding,8,4,0.05
appliances,seasonal_day,stratified_hybrid,8,5,0.05
appliances,seasonal_day,stratified_pooled_bernstein,8,5,0.05
appliances,seasonal_day,stratified_profiled_betting,8,5,0.05
metro,ridge,full_u_joint,8,0,0.05
metro,ridge,stratified_cell_bernstein,8,0,0.05
metro,ridge,stratified_hoeffding,8,0,0.05
metro,ridge,stratified_hybrid,8,0,0.05
metro,ridge,stratified_pooled_bernstein,8,0,0.05
metro,ridge,stratified_profiled_betting,8,2,0.05
metro,seasonal_day,full_u_joint,8,0,0.05
metro,seasonal_day,stratified_cell_bernstein,8,0,0.05
metro,seasonal_day,stratified_hoeffding,8,0,0.05
metro,seasonal_day,stratified_hybrid,8,5,0.05
metro,seasonal_day,stratified_pooled_bernstein,8,5,0.05
metro,seasonal_day,stratified_profiled_betting,8,5,0.05
