IDLink,publication,available,comparator,gain_unavailable_zero
46414,2016-05-01 00:40:15,True,baseline,0.0014428584246185556
46420,2016-05-01 01:40:16,True,baseline,0.00291064606363634
46425,2016-05-01 02:20:20,True,baseline,-0.004703377692473504
46426,2016-05-01 02:20:20,True,baseline,-0.0026641406238748218
46428,2016-05-01 02:40:14,True,baseline,0.004554407157733412
46435,2016-05-01 04:57:15,True,baseline,-0.005949544642067935
46434,2016-05-01 05:06:20,True,baseline,0.0012530157261638137
46437,2016-05-01 05:38:29,True,baseline,0.004030480440058593
46444,2016-05-01 06:00:16,True,baseline,0.004745631892674389
46446,2016-05-01 06:00:20,True,baseline,0.014302938807495311
46440,2016-05-01 06:05:19,True,baseline,-0.007794734662281741
46445,2016-05-01 06:11:19,True,baseline,0.006470065076367747
46454,2016-05-01 07:00:14,True,baseline,-0.0036902323352887827
46455,2016-05-01 07:02:16,True,baseline,-0.00036375725287904456
46451,2016-05-01 07:06:17,True,baseline,-0.006541767236937713
46531,2016-05-01 18:40:14,True,baseline,0.001874133258120067
46534,2016-05-01 18:40:14,True,baseline,-0.0001514988236529647
46536,2016-05-01 19:16:18,True,baseline,0.0012117106063875213
46535,2016-05-01 19:24:16,True,baseline,-0.01708822581846979
46544,2016-05-01 20:16:14,True,baseline,0.00562886396804091
46548,2016-05-01 20:42:16,True,baseline,0.0019468850970958806
46554,2016-05-01 21:00:21,True,baseline,-0.002838450753136308
46553,2016-05-01 21:06:17,True,baseline,0.0017467610072882823
46549,2016-05-01 21:14:22,True,baseline,-0.008602814308147563
46552,2016-05-01 21:40:14,True,baseline,0.001226011369008421
46559,2016-05-01 21:40:15,True,baseline,0.0038975357142233893
46555,2016-05-01 21:51:16,True,baseline,0.0009432004307092026
46563,2016-05-01 22:00:15,True,baseline,-0.025324381587732245
46560,2016-05-01 22:03:17,True,baseline,-0.0005190164565029923
46561,2016-05-01 22:03:18,True,baseline,-0.010463476864646888
46564,2016-05-01 22:58:16,True,baseline,-0.0004618276651853172
46574,2016-05-01 23:40:15,True,baseline,0.0044566027730506205
46575,2016-05-02 00:04:18,True,baseline,0.0038015926365538213
46578,2016-05-02 00:17:16,True,baseline,0.01537427636838868
46581,2016-05-02 00:37:19,True,baseline,0.020388834576192456
46588,2016-05-02 01:11:14,True,baseline,-0.002946884811610493
46582,2016-05-02 01:11:20,True,baseline,0.0009786749100545097
46592,2016-05-02 01:40:15,True,baseline,-0.0004388818875088966
46589,2016-05-02 01:41:15,True,baseline,0.00010646968839032357
46594,2016-05-02 02:41:17,True,baseline,0.015572403530919349
46596,2016-05-02 02:42:19,True,baseline,0.006967513507257321
46608,2016-05-02 04:38:20,True,baseline,-0.00192445118859554
46725,2016-05-02 15:24:14,True,baseline,0.0023071725644762827
46726,2016-05-02 15:29:14,True,baseline,-0.0008980850609168999
46740,2016-05-02 15:40:16,True,baseline,-0.010517505816847884
46743,2016-05-02 16:00:15,True,baseline,0.024985279102568283
46745,2016-05-02 16:00:15,True,baseline,2.1436442511569755e-05
46744,2016-05-02 16:27:15,True,baseline,-0.009332481579006825
46756,2016-05-02 16:40:16,True,baseline,-0.004288467564337536
46755,2016-05-02 16:57:15,True,baseline,0.002975593397989788
46762,2016-05-02 17:00:18,True,baseline,-0.005668852261419699
46763,2016-05-02 17:11:20,True,baseline,0.0034314540019539444
46770,2016-05-02 17:20:19,True,baseline,0.003916428542914055
46759,2016-05-02 17:31:15,True,baseline,-0.004393418418901014
46778,2016-05-02 17:40:17,True,baseline,-0.0018019564159350429
46760,2016-05-02 17:43:16,True,baseline,-0.04065326648174827
46775,2016-05-02 17:44:15,True,baseline,0.022971944369003308
46761,2016-05-02 17:46:16,True,baseline,-0.006656899345973107
46767,2016-05-02 17:47:16,True,baseline,0.004118157496149989
46776,2016-05-02 18:04:15,True,baseline,-0.008796631634048556
46781,2016-05-02 18:26:18,True,baseline,0.0022743370574832833
46777,2016-05-02 18:37:16,True,baseline,-0.013520797111291748
46788,2016-05-02 18:40:14,True,baseline,0.003319520977097836
46789,2016-05-02 18:40:15,True,baseline,-0.001198305036066155
46787,2016-05-02 19:02:17,True,baseline,0.0041806297202379265
46790,2016-05-02 19:07:15,True,baseline,-0.010195173921458307
46792,2016-05-02 19:51:14,True,baseline,-0.000653359928292649
46805,2016-05-02 20:00:24,True,baseline,-0.0007522010913797554
46798,2016-05-02 20:02:15,True,baseline,0.009039526174350974
46797,2016-05-02 20:03:15,True,baseline,-0.0032943320366304457
46793,2016-05-02 20:11:19,True,baseline,-0.009147846184091084
46799,2016-05-02 20:13:17,True,baseline,-0.0034119283969977487
46808,2016-05-02 20:20:31,True,baseline,0.0008011115898380649
46806,2016-05-02 20:29:27,True,baseline,0.0004229819502788376
46818,2016-05-02 20:56:21,True,baseline,0.007387167585800811
46820,2016-05-02 21:00:19,True,baseline,0.00026924340505280614
46816,2016-05-02 21:01:16,True,baseline,-0.0016882841942007694
46819,2016-05-02 21:21:19,True,baseline,-0.006790011825321355
46933,2016-05-03 09:00:19,True,baseline,5.9646652834184286e-05
46930,2016-05-03 09:16:16,True,baseline,0.005667973447547339
46937,2016-05-03 09:49:21,True,baseline,-0.007939459815936247
46936,2016-05-03 09:52:15,True,baseline,-0.007113975809781133
46940,2016-05-03 10:00:15,True,baseline,-0.0033300281874632264
46935,2016-05-03 10:02:15,True,baseline,-0.002823525080631728
46941,2016-05-03 10:28:16,True,baseline,0.0061443249533793785
46944,2016-05-03 10:33:15,True,baseline,-0.002304869294711717
46949,2016-05-03 10:42:21,True,baseline,0.006865910849019333
46946,2016-05-03 10:48:15,True,baseline,-0.0034024412576487244
46948,2016-05-03 11:01:18,True,baseline,-0.00448854035922068
46947,2016-05-03 11:19:15,True,baseline,-0.0042606124268361675
46952,2016-05-03 11:20:21,True,baseline,-0.0023139198320798015
46953,2016-05-03 11:40:15,True,baseline,0.015208160628774711
46956,2016-05-03 12:08:15,True,baseline,0.0032466144612465046
46959,2016-05-03 12:20:15,True,baseline,5.702807183674045e-05
46965,2016-05-03 12:40:19,True,baseline,-0.0026199018935372936
46960,2016-05-03 12:44:20,True,baseline,-0.0014433340066285958
46969,2016-05-03 13:00:15,True,baseline,0.004996702412689003
46971,2016-05-03 13:13:18,True,baseline,0.0010586608796760116
46962,2016-05-03 13:14:18,True,baseline,-0.003839752876519822
46978,2016-05-03 13:26:16,True,baseline,0.006593020026337097
46982,2016-05-03 13:40:15,True,baseline,-0.0033010237666313176
46984,2016-05-03 13:40:21,True,baseline,0.0010370486811007683
46979,2016-05-03 13:52:16,True,baseline,-0.017603868178891577
46983,2016-05-03 13:54:18,True,baseline,0.0026269560394980023
46980,2016-05-03 13:59:21,True,baseline,-0.004648081867797957
47118,2016-05-04 01:47:20,True,baseline,-0.01484321560466409
47122,2016-05-04 02:00:16,True,baseline,-0.025797897962137436
47120,2016-05-04 02:04:18,True,baseline,0.000544133946130395
47125,2016-05-04 02:20:20,True,baseline,-0.009119462840266265
47124,2016-05-04 02:46:16,True,baseline,0.017401988195936104
47128,2016-05-04 03:41:19,True,baseline,-0.00028193560342852484
47127,2016-05-04 03:46:16,True,baseline,0.000938064840355773
47129,2016-05-04 04:01:15,True,baseline,0.004006599553945948
47134,2016-05-04 04:37:16,True,baseline,0.005438113133237884
47133,2016-05-04 04:42:16,True,baseline,-0.0013542433848251923
47143,2016-05-04 05:00:25,True,baseline,-0.01589405258428543
47144,2016-05-04 05:12:27,True,baseline,0.022719650862616264
47150,2016-05-04 05:55:17,True,baseline,-0.0015794748284444309
47284,2016-05-04 18:07:20,True,baseline,-0.02414307720477482
47288,2016-05-04 18:18:17,True,baseline,-0.020472841089282934
47297,2016-05-04 18:20:19,True,baseline,0.01307682967146645
47296,2016-05-04 18:40:19,True,baseline,-0.00013486406248481436
47302,2016-05-04 18:43:15,True,baseline,0.01686681535995327
47292,2016-05-04 18:48:15,True,baseline,0.009628010318093957
47295,2016-05-04 18:56:14,True,baseline,-0.0017220879117103727
47306,2016-05-04 19:00:15,True,baseline,0.0021969838680372437
47313,2016-05-04 19:40:17,True,baseline,0.004870739832483789
47314,2016-05-04 19:40:23,True,baseline,-0.0030242355700945893
47310,2016-05-04 19:44:31,True,baseline,-0.0023404910738669712
47317,2016-05-04 20:00:18,True,baseline,0.0012969515604314315
47311,2016-05-04 20:02:31,True,baseline,0.014091898025617847
47320,2016-05-04 20:25:18,True,baseline,-0.00010973765083500698
47325,2016-05-04 20:40:14,True,baseline,0.000986805299773321
47326,2016-05-04 20:40:19,True,baseline,0.00036311578089664624
47321,2016-05-04 21:15:19,True,baseline,0.008458934213148087
47411,2016-05-05 09:10:15,True,baseline,0.005497335845284657
47419,2016-05-05 09:20:20,True,baseline,0.0002636109159804621
47415,2016-05-05 09:47:25,True,baseline,0.001710812424318555
47414,2016-05-05 09:52:25,True,baseline,-0.0028855132856664507
47422,2016-05-05 10:06:15,True,baseline,-0.007579928783197233
47418,2016-05-05 10:08:16,True,baseline,-0.005047239181046202
47427,2016-05-05 10:38:16,True,baseline,0.005253671920417457
47428,2016-05-05 11:00:16,True,baseline,0.029764038872218956
47440,2016-05-05 11:40:18,True,baseline,0.0032505365953564083
47436,2016-05-05 12:05:25,True,baseline,-0.007043976101707291
47437,2016-05-05 12:10:27,True,baseline,-0.001735232381596471
47439,2016-05-05 12:32:14,True,baseline,0.001953679148323129
47444,2016-05-05 12:38:16,True,baseline,-0.0004929302303530413
47454,2016-05-05 13:02:30,True,baseline,-0.0021756409580110186
47449,2016-05-05 13:04:18,True,baseline,0.003031316945207127
47463,2016-05-05 13:20:15,True,baseline,-0.0038235621080004237
47464,2016-05-05 13:20:20,True,baseline,-0.0016112217085199492
47460,2016-05-05 13:31:19,True,baseline,-0.0036303625963561947
47468,2016-05-05 13:40:17,True,baseline,0.002757860338957976
47469,2016-05-05 13:40:17,True,baseline,0.007078676422950189
47470,2016-05-05 13:40:19,True,baseline,0.007527669674390128
47611,2016-05-06 02:38:19,True,baseline,-0.0016589759256011379
47618,2016-05-06 03:00:18,True,baseline,0.009534859635893945
47619,2016-05-06 03:00:20,True,baseline,0.01694178771403201
47622,2016-05-06 03:30:16,True,baseline,-0.005724882092796979
47630,2016-05-06 04:40:18,True,baseline,0.0004791823432123317
47631,2016-05-06 06:04:16,True,baseline,0.0004843118799206542
47774,2016-05-06 18:29:16,True,baseline,0.016495266148752984
47772,2016-05-06 18:31:19,True,baseline,0.005333728521588893
47777,2016-05-06 18:31:23,True,baseline,0.012737244124827164
47771,2016-05-06 18:39:16,True,baseline,-0.008895340198512638
