day,eligible,available,gain_sum,comparator,mean_gain_eligible
2016-05-01,32,32,-0.03451549891060515,baseline,-0.001078609340956411
2016-05-02,46,46,0.006641727402884445,baseline,0.00014438537832357488
2016-05-03,27,27,-0.017871287550376914,baseline,-0.0006618995389028486
2016-05-04,30,30,0.00206801709102353,baseline,6.893390303411767e-05
2016-05-05,21,21,0.03206360176895077,baseline,0.0015268381794738461
2016-05-06,14,14,0.046831964379189836,baseline,0.003345140312799274
2016-05-07,8,8,0.0276110620852784,baseline,0.0034513827606598
2016-05-08,28,28,-0.0034169703265739884,baseline,-0.00012203465452049958
2016-05-09,49,49,-0.030276608555963938,baseline,-0.0006178899705298762
2016-05-10,46,46,-0.02361166693391038,baseline,-0.0005132971072589213
2016-05-11,28,28,0.07689878622245241,baseline,0.0027463852222304433
2016-05-12,20,20,0.0623623075988681,baseline,0.003118115379943405
2016-05-13,36,36,-0.01059377907549465,baseline,-0.00029427164098596247
2016-05-14,6,6,-0.011323449334920311,baseline,-0.0018872415558200519
2016-05-15,21,21,-0.02683341680025666,baseline,-0.0012777817523931742
2016-05-16,41,41,0.03289141076692145,baseline,0.0008022295309005232
2016-05-17,28,28,-0.02337993097442545,baseline,-0.0008349975348009089
2016-05-18,13,13,-0.0346103407517467,baseline,-0.0026623339039805157
2016-05-20,39,39,-0.03008281119669149,baseline,-0.0007713541332484997
2016-05-21,17,17,-0.031015702442852927,baseline,-0.0018244530848737016
2016-05-22,21,21,-0.03099531345556916,baseline,-0.001475967307408055
2016-05-23,44,44,-0.08165918333233149,baseline,-0.0018558905302802611
2016-05-24,31,31,0.07866197715522738,baseline,0.002537483134039593
2016-05-25,23,23,-0.009779454271043809,baseline,-0.00042519366395842647
2016-05-26,28,28,-0.00014448081935968188,baseline,-5.160029262845781e-06
2016-05-27,32,32,-0.029372420001654728,baseline,-0.0009178881250517103
2016-05-28,9,9,-0.04082823591173242,baseline,-0.004536470656859158
2016-05-29,26,26,0.010380324435992353,baseline,0.00039924324753816745
2016-05-30,52,52,-0.10384365863444112,baseline,-0.001996993435277714
2016-05-31,23,23,-0.0012313319224116618,baseline,-5.353617053963747e-05
2016-06-01,20,20,0.02145260752301898,baseline,0.0010726303761509491
2016-06-02,14,14,0.0737663873044495,baseline,0.005269027664603535
2016-06-03,18,18,-0.013916923521976383,baseline,-0.0007731624178875768
2016-06-04,14,14,-0.02991551882047271,baseline,-0.002136822772890908
2016-06-05,26,26,-0.03243867065652027,baseline,-0.0012476411790969335
2016-06-06,49,49,0.018654210072603407,baseline,0.0003806981647470083
2016-06-07,19,19,0.008354921260632486,baseline,0.00043973269792802556
2016-06-08,8,8,0.012632571061038851,baseline,0.0015790713826298564
2016-06-09,9,9,0.0699723541957882,baseline,0.007774706021754245
2016-06-10,3,3,-0.010248166977079073,baseline,-0.0034160556590263577
2016-06-18,5,5,-0.029706709306855088,baseline,-0.005941341861371017
2016-06-19,24,24,0.08120051132334091,baseline,0.003383354638472538
2016-06-20,62,62,0.06453039302804821,baseline,0.001040812790774971
2016-05-01,32,32,0.0,ungated,0.0
2016-05-02,46,46,0.0,ungated,0.0
2016-05-03,27,27,0.0,ungated,0.0
2016-05-04,30,30,0.0,ungated,0.0
2016-05-05,21,21,0.0,ungated,0.0
2016-05-06,14,14,0.0,ungated,0.0
2016-05-07,8,8,0.0,ungated,0.0
2016-05-08,28,28,0.0,ungated,0.0
2016-05-09,49,49,0.0,ungated,0.0
2016-05-10,46,46,0.0,ungated,0.0
2016-05-11,28,28,0.0,ungated,0.0
2016-05-12,20,20,0.0,ungated,0.0
2016-05-13,36,36,0.0,ungated,0.0
2016-05-14,6,6,0.0,ungated,0.0
2016-05-15,21,21,0.0,ungated,0.0
2016-05-16,41,41,0.0,ungated,0.0
2016-05-17,28,28,0.0,ungated,0.0
2016-05-18,13,13,0.0,ungated,0.0
2016-05-20,39,39,0.0,ungated,0.0
2016-05-21,17,17,0.0,ungated,0.0
2016-05-22,21,21,0.0,ungated,0.0
2016-05-23,44,44,0.0,ungated,0.0
2016-05-24,31,31,0.0,ungated,0.0
2016-05-25,23,23,0.0,ungated,0.0
2016-05-26,28,28,0.0,ungated,0.0
2016-05-27,32,32,0.0,ungated,0.0
2016-05-28,9,9,0.0,ungated,0.0
2016-05-29,26,26,0.0,ungated,0.0
2016-05-30,52,52,0.0,ungated,0.0
2016-05-31,23,23,0.0,ungated,0.0
2016-06-01,20,20,0.0,ungated,0.0
2016-06-02,14,14,0.0,ungated,0.0
2016-06-03,18,18,0.0,ungated,0.0
2016-06-04,14,14,0.0,ungated,0.0
2016-06-05,26,26,0.0,ungated,0.0
2016-06-06,49,49,0.0,ungated,0.0
2016-06-07,19,19,0.0,ungated,0.0
2016-06-08,8,8,0.0,ungated,0.0
2016-06-09,9,9,0.0,ungated,0.0
2016-06-10,3,3,0.0,ungated,0.0
2016-06-18,5,5,0.0,ungated,0.0
2016-06-19,24,24,0.0,ungated,0.0
2016-06-20,62,62,0.0,ungated,0.0
2016-05-01,32,32,0.006162513280886632,calibration_only,0.00019257854002770726
2016-05-02,46,46,-0.017015896138886585,calibration_only,-0.00036991078562796924
2016-05-03,27,27,0.04251901316954189,calibration_only,0.0015747782655385885
2016-05-04,30,30,-0.01591547379701477,calibration_only,-0.0005305157932338257
2016-05-05,21,21,0.014225491302813996,calibration_only,0.0006774043477530474
2016-05-06,14,14,-0.012110427668604803,calibration_only,-0.000865030547757486
2016-05-07,8,8,0.04006073672801812,calibration_only,0.005007592091002265
2016-05-08,28,28,-0.01995572782981575,calibration_only,-0.0007127045653505625
2016-05-09,49,49,-0.019219200337217947,calibration_only,-0.00039222857831057033
2016-05-10,46,46,0.03873904005115793,calibration_only,0.0008421530445903898
2016-05-11,28,28,0.044413855919391336,calibration_only,0.001586209139978262
2016-05-12,20,20,0.03513632366586612,calibration_only,0.0017568161832933061
2016-05-13,36,36,0.04496342056406937,calibration_only,0.0012489839045574825
2016-05-14,6,6,0.012592811809502304,calibration_only,0.002098801968250384
2016-05-15,21,21,0.027058750001641638,calibration_only,0.001288511904840078
2016-05-16,41,41,0.0686701032946018,calibration_only,0.0016748805681610194
2016-05-17,28,28,0.08564045088636828,calibration_only,0.0030585875316560098
2016-05-18,13,13,0.026382626678953074,calibration_only,0.002029432821457929
2016-05-20,39,39,0.05648964884637288,calibration_only,0.0014484525345223815
2016-05-21,17,17,-0.021566548650746458,calibration_only,-0.0012686205088674387
2016-05-22,21,21,0.0026133347528998685,calibration_only,0.00012444451204285089
2016-05-23,44,44,-0.06127728743045358,calibration_only,-0.0013926656234193996
2016-05-24,31,31,-0.037777239289117304,calibration_only,-0.0012186206222295905
2016-05-25,23,23,-0.051854121313534715,calibration_only,-0.002254527013631944
2016-05-26,28,28,-0.0017385539248649983,calibration_only,-6.209121160232137e-05
2016-05-27,32,32,0.011463703819565749,calibration_only,0.00035824074436142966
2016-05-28,9,9,-0.035853419363120545,calibration_only,-0.003983713262568949
2016-05-29,26,26,0.05683963804365892,calibration_only,0.0021861399247561125
2016-05-30,52,52,-0.1221968939396951,calibration_only,-0.0023499402680710597
2016-05-31,23,23,0.006747028570622865,calibration_only,0.0002933490682879507
2016-06-01,20,20,0.07841420406304679,calibration_only,0.0039207102031523396
2016-06-02,14,14,0.04892904577779105,calibration_only,0.0034949318412707893
2016-06-03,18,18,0.010825761050071242,calibration_only,0.0006014311694484023
2016-06-04,14,14,-0.04313766908224449,calibration_only,-0.003081262077303178
2016-06-05,26,26,0.06179082432908747,calibration_only,0.002376570166503364
2016-06-06,49,49,-0.04840074926374851,calibration_only,-0.0009877703931377246
2016-06-07,19,19,0.025824154469204545,calibration_only,0.001359166024694976
2016-06-08,8,8,0.035155963363542306,calibration_only,0.004394495420442788
2016-06-09,9,9,0.06904712291980503,calibration_only,0.007671902546645003
2016-06-10,3,3,-0.027958443777976388,calibration_only,-0.009319481259325463
2016-06-18,5,5,-0.041713523543365896,calibration_only,-0.008342704708673179
2016-06-19,24,24,0.007966811780375723,calibration_only,0.0003319504908489885
2016-06-20,62,62,0.12171260770786432,calibration_only,0.0019631065759332955
2016-05-01,32,32,0.377523343292353,persistence,0.01179760447788603
2016-05-02,46,46,0.748932891959623,persistence,0.016281149825209194
2016-05-03,27,27,0.5694210482428219,persistence,0.02108966845343785
2016-05-04,30,30,0.6305410128363015,persistence,0.02101803376121005
2016-05-05,21,21,0.4186351447975263,persistence,0.0199350068951203
2016-05-06,14,14,0.13563910481905672,persistence,0.00968850748707548
2016-05-07,8,8,0.19118322875675015,persistence,0.023897903594593768
2016-05-08,28,28,0.49612546673668045,persistence,0.01771876666916716
2016-05-09,49,49,0.35073265643558166,persistence,0.007157809315011871
2016-05-10,46,46,0.6036487520150555,persistence,0.013122798956849034
2016-05-11,28,28,0.9123699017279637,persistence,0.03258463934742727
2016-05-12,20,20,0.055474375423127165,persistence,0.002773718771156358
2016-05-13,36,36,0.7090766070266465,persistence,0.019696572417406848
2016-05-14,6,6,0.139317083567868,persistence,0.023219513927978
2016-05-15,21,21,0.7257550996477966,persistence,0.034559766649895074
2016-05-16,41,41,1.6569494143230459,persistence,0.040413400349342585
2016-05-17,28,28,0.2599409993698952,persistence,0.009283607120353398
2016-05-18,13,13,-0.30991592218530173,persistence,-0.023839686321946288
2016-05-20,39,39,0.05968884379657621,persistence,0.001530483174271185
2016-05-21,17,17,0.262520119150222,persistence,0.015442359950013059
2016-05-22,21,21,0.27585849083051645,persistence,0.013136118610976974
2016-05-23,44,44,0.28462570086520766,persistence,0.006468765928754719
2016-05-24,31,31,0.8707694504185973,persistence,0.02808933711027733
2016-05-25,23,23,0.35174450850118655,persistence,0.015293239500051589
2016-05-26,28,28,0.3749588689116038,persistence,0.013391388175414421
2016-05-27,32,32,0.07854461628290033,persistence,0.002454519258840635
2016-05-28,9,9,0.2319717609029506,persistence,0.025774640100327845
2016-05-29,26,26,0.6601708297234751,persistence,0.025391185758595194
2016-05-30,52,52,-0.0903431859478015,persistence,-0.0017373689605346442
2016-05-31,23,23,0.0790313754065353,persistence,0.003436146756805883
2016-06-01,20,20,0.2467718692228436,persistence,0.01233859346114218
2016-06-02,14,14,0.34024214158121546,persistence,0.024303010112943963
2016-06-03,18,18,0.19785435325901363,persistence,0.010991908514389645
2016-06-04,14,14,0.8543982238519996,persistence,0.06102844456085711
2016-06-05,26,26,0.5958029536399309,persistence,0.02291549821692042
2016-06-06,49,49,1.1607101048772468,persistence,0.023687961324025446
2016-06-07,19,19,0.25386565601354083,persistence,0.013361350316502148
2016-06-08,8,8,-0.052359900155540734,persistence,-0.006544987519442592
2016-06-09,9,9,-0.14899412714793644,persistence,-0.016554903016437382
2016-06-10,3,3,-0.154284141043771,persistence,-0.05142804701459033
2016-06-18,5,5,0.4692230808414043,persistence,0.09384461616828085
2016-06-19,24,24,0.7074546220467639,persistence,0.029477275918615164
2016-06-20,62,62,0.733329952894957,persistence,0.011827902466047693
2016-05-01,32,32,-0.03451549891060515,full_u_joint,-0.001078609340956411
2016-05-02,46,46,0.006641727402884445,full_u_joint,0.00014438537832357488
2016-05-03,27,27,-0.017871287550376914,full_u_joint,-0.0006618995389028486
2016-05-04,30,30,0.00206801709102353,full_u_joint,6.893390303411767e-05
2016-05-05,21,21,0.03206360176895077,full_u_joint,0.0015268381794738461
2016-05-06,14,14,0.046831964379189836,full_u_joint,0.003345140312799274
2016-05-07,8,8,0.0276110620852784,full_u_joint,0.0034513827606598
2016-05-08,28,28,-0.0034169703265739884,full_u_joint,-0.00012203465452049958
2016-05-09,49,49,-0.030276608555963938,full_u_joint,-0.0006178899705298762
2016-05-10,46,46,-0.02361166693391038,full_u_joint,-0.0005132971072589213
2016-05-11,28,28,0.07689878622245241,full_u_joint,0.0027463852222304433
2016-05-12,20,20,0.0623623075988681,full_u_joint,0.003118115379943405
2016-05-13,36,36,-0.01059377907549465,full_u_joint,-0.00029427164098596247
2016-05-14,6,6,-0.011323449334920311,full_u_joint,-0.0018872415558200519
2016-05-15,21,21,-0.02683341680025666,full_u_joint,-0.0012777817523931742
2016-05-16,41,41,0.03289141076692145,full_u_joint,0.0008022295309005232
