Headline,IDLink,PublishDate,Source,Title,Topic,TS1,TS2,TS3,stage,label_available
The unemployment figure announced last week at 6 per cent and rising is a disgrace - not only a personal tragedy for individuals and families,406,2015-11-10 00:56:13,New Zealand Herald,Bryan Gould: Unemployment rate is proof economy is failing,economy,,1.0,1.0,training,True
Why is this crucial for the country ' s growth prospects and how will it affect the overall economy ? How will this affect your development plan in,434,2015-11-10 02:06:11,China Daily,Glimpses of economy over next 5 years,economy,,,0.0,training,True
"Global stocks were weighed down Monday, Nov. 9, 2015, by weak Chinese and global economic data, as well as the prospect of a U.S. interest",441,2015-11-10 03:09:10,Bristol Herald Courier (press release) (blog),Asian shares fall on renewed jitters over global economy,economy,,0.0,0.0,training,True
"THE need for diversification of the nation's economy has never been more imperative in this country than now, especially with the dwindling oil",474,2015-11-10 04:48:12,Daily Sun,The need to diversify the economy,economy,,,1.0,training,True
"The Economy Watchers Current Index measures the current mood of businesses that directly service consumers, such as barbers, taxi drivers,",477,2015-11-10 05:27:10,ForexLive,Japan economy watchers survey current index Oct 48.2 vs 48.0 exp,economy,4.0,5.0,5.0,training,True
"1) How does CSX see current trends in the US rail industry, and are these trends consistent with a weakening overall economy or continued",506,2015-11-10 07:23:11,Seeking Alpha,Economic Bellweather CSX On The State Of The Global Economy,economy,,,0.0,training,True
France's Macron sees economy growing between +1.1 and +1.2% in 2015. Tue 10 Nov 2015 07:11:38 GMT. Author: Mike Paterson | Category: News.,501,2015-11-10 07:25:10,ForexLive,France's Macron sees economy growing between +1.1 and +1.2% in ...,economy,,,3.0,training,True
"&quot;The economy has been rebalancing all through the year. the key to a sustainable lift in non-mining economic activity,&quot; said Warren Hogan,",512,2015-11-10 07:44:10,MarketWatch,RBA may take heart from improving economic data,economy,,,0.0,training,True
NAIROBI: Kenya has been unable to repay foreign debts on time compounding fears about the State of the economy and has now asked the,514,2015-11-10 08:24:14,The Standard Digital News (satire) (press release) (registration) (blog),"Saving the Kenyan economy: Brace for leaner, mean State machine ...",economy,0.0,0.0,0.0,training,True
Global stocks steadied Tuesday despite lingering concerns about the health of the global economy and a potential U.S. interest-rate rise before,526,2015-11-10 08:53:10,Wall Street Journal,Global Stocks Steady Despite Economy Concerns,economy,,,4.0,training,True
