method,candidate,retained,confirmation_augmentation_gain,exactly_equal_to_baseline_array,excluded_useful,retained_harmful
full_u_joint,rich_ridge,False,-0.00042101820478006357,False,False,False
full_u_joint,rich_hgb,False,3.185910287427291e-05,False,True,False
full_u_joint,rich_extra_trees,False,-0.0012136080155407548,False,False,False
full_u_joint,persistence,False,0.0,True,False,False
full_u_joint,category_copy,False,-0.0011398912753049462,False,False,False
full_u_joint,hash_noise,False,0.0,True,False,False
stratified_hybrid,rich_ridge,True,-0.00042101820478006357,False,False,True
stratified_hybrid,rich_hgb,True,3.185910287427291e-05,False,False,False
stratified_hybrid,rich_extra_trees,True,-0.0012136080155407548,False,False,True
stratified_hybrid,persistence,True,0.0,True,False,False
stratified_hybrid,category_copy,False,-0.0011398912753049462,False,False,False
stratified_hybrid,hash_noise,False,0.0,True,False,False
stratified_hoeffding,rich_ridge,False,-0.00042101820478006357,False,False,False
stratified_hoeffding,rich_hgb,False,3.185910287427291e-05,False,True,False
stratified_hoeffding,rich_extra_trees,False,-0.0012136080155407548,False,False,False
stratified_hoeffding,persistence,False,0.0,True,False,False
stratified_hoeffding,category_copy,False,-0.0011398912753049462,False,False,False
stratified_hoeffding,hash_noise,False,0.0,True,False,False
stratified_profiled_betting,rich_ridge,True,-0.00042101820478006357,False,False,True
stratified_profiled_betting,rich_hgb,True,3.185910287427291e-05,False,False,False
stratified_profiled_betting,rich_extra_trees,True,-0.0012136080155407548,False,False,True
stratified_profiled_betting,persistence,True,0.0,True,False,False
stratified_profiled_betting,category_copy,False,-0.0011398912753049462,False,False,False
stratified_profiled_betting,hash_noise,False,0.0,True,False,False
aggregate_reference_u,rich_ridge,False,-0.00042101820478006357,False,False,False
aggregate_reference_u,rich_hgb,False,3.185910287427291e-05,False,True,False
aggregate_reference_u,rich_extra_trees,False,-0.0012136080155407548,False,False,False
aggregate_reference_u,persistence,False,0.0,True,False,False
aggregate_reference_u,category_copy,False,-0.0011398912753049462,False,False,False
aggregate_reference_u,hash_noise,False,0.0,True,False,False
aggregate_reference_betting,rich_ridge,True,-0.00042101820478006357,False,False,True
aggregate_reference_betting,rich_hgb,True,3.185910287427291e-05,False,False,False
aggregate_reference_betting,rich_extra_trees,True,-0.0012136080155407548,False,False,True
aggregate_reference_betting,persistence,True,0.0,True,False,False
aggregate_reference_betting,category_copy,False,-0.0011398912753049462,False,False,False
aggregate_reference_betting,hash_noise,False,0.0,True,False,False
pooled_reference_u,rich_ridge,False,-0.00042101820478006357,False,False,False
pooled_reference_u,rich_hgb,False,3.185910287427291e-05,False,True,False
pooled_reference_u,rich_extra_trees,False,-0.0012136080155407548,False,False,False
pooled_reference_u,persistence,False,0.0,True,False,False
pooled_reference_u,category_copy,False,-0.0011398912753049462,False,False,False
pooled_reference_u,hash_noise,False,0.0,True,False,False
pooled_reference_betting,rich_ridge,True,-0.00042101820478006357,False,False,True
pooled_reference_betting,rich_hgb,True,3.185910287427291e-05,False,False,False
pooled_reference_betting,rich_extra_trees,True,-0.0012136080155407548,False,False,True
pooled_reference_betting,persistence,True,0.0,True,False,False
pooled_reference_betting,category_copy,False,-0.0011398912753049462,False,False,False
pooled_reference_betting,hash_noise,False,0.0,True,False,False
direct_loss,rich_ridge,False,-0.00042101820478006357,False,False,False
direct_loss,rich_hgb,True,3.185910287427291e-05,False,False,False
direct_loss,rich_extra_trees,False,-0.0012136080155407548,False,False,False
direct_loss,persistence,False,0.0,True,False,False
direct_loss,category_copy,False,-0.0011398912753049462,False,False,False
direct_loss,hash_noise,False,0.0,True,False,False
