rule,candidate,number_passing,passing_candidates,selection_mse
shared_original_hybrid,persistence,0,,595.3333333333334
shared_original_hoeffding,persistence,0,,595.3333333333334
shared_pruned_same_counts_hybrid,persistence,0,,595.3333333333334
shared_pruned_same_counts_hoeffding,persistence,0,,595.3333333333334
shared_pruned_allocated_hybrid,persistence,0,,595.3333333333334
shared_pruned_allocated_hoeffding,persistence,0,,595.3333333333334
direct_triple_u_hybrid,boosting_31,3,ridge_1;ridge_100;boosting_31,527.5912583594636
direct_triple_u_hoeffding,persistence,0,,595.3333333333334
complete_pooled_u_variance,boosting_31,3,ridge_1;ridge_100;boosting_31,527.5912583594636
complete_pooled_u_hoeffding,persistence,0,,595.3333333333334
census_exact,boosting_31,7,ridge_1;ridge_100;boosting_7;boosting_31;blend_ridge_1;blend_boosting_7;blend_boosting_31,527.5912583594636
