axis,series,candidate,y,unscaled_value,plotted_x_times_1000
interaction,Raw shared score,persistence,0,0.0,0.0
interaction,Raw shared score,ridge_1,1,0.014434814453125,14.434814453125
interaction,Raw shared score,ridge_100,2,0.014495849609375,14.495849609375
interaction,Raw shared score,boosting_7,3,0.006439208984375,6.439208984375
interaction,Raw shared score,boosting_31,4,0.0085296630859375,8.5296630859375
interaction,Raw shared score,blend_ridge_1,5,0.008026123046875,8.026123046875
interaction,Raw shared score,blend_boosting_7,6,0.002593994140625,2.593994140625
interaction,Raw shared score,blend_boosting_31,7,0.0036468505859375,3.6468505859375
interaction,Corrected center,persistence,0,0.0,0.0
interaction,Corrected center,ridge_1,1,0.0020904541015625,2.0904541015625
interaction,Corrected center,ridge_100,2,0.0024566650390625,2.4566650390625
interaction,Corrected center,boosting_7,3,-0.00030517578125,-0.30517578125
interaction,Corrected center,boosting_31,4,0.0003814697265625,0.3814697265625
interaction,Corrected center,blend_ridge_1,5,0.0020294189453125,2.0294189453125
interaction,Corrected center,blend_boosting_7,6,-0.000457763671875,-0.457763671875
interaction,Corrected center,blend_boosting_31,7,7.62939453125e-05,0.0762939453125
interaction,Exact census target,persistence,0,0.0,0.0
interaction,Exact census target,ridge_1,1,0.0009481287389672,0.9481287389672001
interaction,Exact census target,ridge_100,2,0.0008873063056739,0.8873063056739
interaction,Exact census target,boosting_7,3,0.0005717383726406,0.5717383726406
interaction,Exact census target,boosting_31,4,0.0008521327899962,0.8521327899962
interaction,Exact census target,blend_ridge_1,5,0.0004555620252825,0.4555620252825
interaction,Exact census target,blend_boosting_7,6,0.0002814381233111,0.2814381233111
interaction,Exact census target,blend_boosting_31,7,0.0003740029670747,0.3740029670747
lower_full,Shared hybrid lower,persistence,0,-0.0101903911009617,-10.190391100961701
lower_full,Shared hybrid lower,ridge_1,1,-0.0150482897449365,-15.0482897449365
lower_full,Shared hybrid lower,ridge_100,2,-0.0146595508574967,-14.6595508574967
lower_full,Shared hybrid lower,boosting_7,3,-0.0153887067055201,-15.388706705520098
lower_full,Shared hybrid lower,boosting_31,4,-0.0153665516209726,-15.3665516209726
lower_full,Shared hybrid lower,blend_ridge_1,5,-0.0132577500076314,-13.2577500076314
lower_full,Shared hybrid lower,blend_boosting_7,6,-0.0139265434017388,-13.9265434017388
lower_full,Shared hybrid lower,blend_boosting_31,7,-0.0138215700584585,-13.8215700584585
lower_full,Pruned hybrid lower,persistence,0,-0.0067643965873737,-6.7643965873736995
lower_full,Pruned hybrid lower,ridge_1,1,-0.0115438188828209,-11.5438188828209
lower_full,Pruned hybrid lower,ridge_100,2,-0.0112535360841533,-11.2535360841533
lower_full,Pruned hybrid lower,boosting_7,3,-0.0101550247090391,-10.1550247090391
lower_full,Pruned hybrid lower,boosting_31,4,-0.0102483947280509,-10.2483947280509
lower_full,Pruned hybrid lower,blend_ridge_1,5,-0.0101377211473226,-10.1377211473226
lower_full,Pruned hybrid lower,blend_boosting_7,6,-0.0090554666853639,-9.0554666853639
lower_full,Pruned hybrid lower,blend_boosting_31,7,-0.0091491809590379,-9.1491809590379
lower_full,Pooled variance lower,persistence,0,-0.0003651163839409,-0.36511638394089996
lower_full,Pooled variance lower,ridge_1,1,0.0001458918770908,0.14589187709079998
lower_full,Pooled variance lower,ridge_100,2,0.0001046230683513,0.10462306835129999
lower_full,Pooled variance lower,boosting_7,3,-7.99943199261226e-05,-0.0799943199261226
lower_full,Pooled variance lower,boosting_31,4,0.0001549404696573,0.15494046965730002
lower_full,Pooled variance lower,blend_ridge_1,5,-0.0002071076147934,-0.2071076147934
lower_full,Pooled variance lower,blend_boosting_7,6,-0.0002621227498275,-0.2621227498275
lower_full,Pooled variance lower,blend_boosting_31,7,-0.0002020454198291,-0.20204541982910001
lower_full,Exact census target,persistence,0,0.0,0.0
lower_full,Exact census target,ridge_1,1,0.0009481287389672,0.9481287389672001
lower_full,Exact census target,ridge_100,2,0.0008873063056739,0.8873063056739
lower_full,Exact census target,boosting_7,3,0.0005717383726406,0.5717383726406
lower_full,Exact census target,boosting_31,4,0.0008521327899962,0.8521327899962
lower_full,Exact census target,blend_ridge_1,5,0.0004555620252825,0.4555620252825
lower_full,Exact census target,blend_boosting_7,6,0.0002814381233111,0.2814381233111
lower_full,Exact census target,blend_boosting_31,7,0.0003740029670747,0.3740029670747
lower_zoom,Pooled variance lower,persistence,0,-0.0003651163839409,-0.36511638394089996
lower_zoom,Pooled variance lower,ridge_1,1,0.0001458918770908,0.14589187709079998
lower_zoom,Pooled variance lower,ridge_100,2,0.0001046230683513,0.10462306835129999
lower_zoom,Pooled variance lower,boosting_7,3,-7.99943199261226e-05,-0.0799943199261226
lower_zoom,Pooled variance lower,boosting_31,4,0.0001549404696573,0.15494046965730002
lower_zoom,Pooled variance lower,blend_ridge_1,5,-0.0002071076147934,-0.2071076147934
lower_zoom,Pooled variance lower,blend_boosting_7,6,-0.0002621227498275,-0.2621227498275
lower_zoom,Pooled variance lower,blend_boosting_31,7,-0.0002020454198291,-0.20204541982910001
lower_zoom,Exact census target,persistence,0,0.0,0.0
lower_zoom,Exact census target,ridge_1,1,0.0009481287389672,0.9481287389672001
lower_zoom,Exact census target,ridge_100,2,0.0008873063056739,0.8873063056739
lower_zoom,Exact census target,boosting_7,3,0.0005717383726406,0.5717383726406
lower_zoom,Exact census target,boosting_31,4,0.0008521327899962,0.8521327899962
lower_zoom,Exact census target,blend_ridge_1,5,0.0004555620252825,0.4555620252825
lower_zoom,Exact census target,blend_boosting_7,6,0.0002814381233111,0.2814381233111
lower_zoom,Exact census target,blend_boosting_31,7,0.0003740029670747,0.3740029670747
