candidate,design,target,reference_interaction,expected_shared_score,overlap_matrix,overlap_matrix_sum,population_covariance,reference_covariance
persistence,shared,0.0,0.0,0.0,"[[1.0, -1.0], [-1.0, 1.0]]",0.0,"[[0.0800274665909099, 0.08331842146261423], [0.0800274665909099, 0.08331842146261423]]","[[0.1297635802269144, 0.16406538894058675], [0.1297635802269144, 0.16406538894058675]]"
persistence,separate,0.0,0.0,0.0,"[[0.0, 0.0], [0.0, 0.0]]",0.0,"[[0.0800274665909099, 0.08331842146261423], [0.0800274665909099, 0.08331842146261423]]","[[0.1297635802269144, 0.16406538894058675], [0.1297635802269144, 0.16406538894058675]]"
persistence,crossed,0.0,0.0,0.0,"[[0.0, -1.0], [0.0, 1.0]]",0.0,"[[0.0800274665909099, 0.08331842146261423], [0.0800274665909099, 0.08331842146261423]]","[[0.1297635802269144, 0.16406538894058675], [0.1297635802269144, 0.16406538894058675]]"
ridge_1,shared,0.0009481287389671439,0.014496794485272774,0.015444923224239918,"[[1.0, -1.0], [-1.0, 1.0]]",0.0,"[[0.08021958973331327, 0.08256241586605045], [0.0800274665909099, 0.08331842146261423]]","[[0.1304734440206623, 0.15027845824906189], [0.1297635802269144, 0.16406538894058675]]"
ridge_1,separate,0.0009481287389671439,0.0,0.0009481287389671439,"[[0.0, 0.0], [0.0, 0.0]]",0.0,"[[0.08021958973331327, 0.08256241586605045], [0.0800274665909099, 0.08331842146261423]]","[[0.1304734440206623, 0.15027845824906189], [0.1297635802269144, 0.16406538894058675]]"
ridge_1,crossed,0.0009481287389671439,0.013786930691524868,0.014735059430492012,"[[0.0, -1.0], [0.0, 1.0]]",0.0,"[[0.08021958973331327, 0.08256241586605045], [0.0800274665909099, 0.08331842146261423]]","[[0.1304734440206623, 0.15027845824906189], [0.1297635802269144, 0.16406538894058675]]"
ridge_100,shared,0.000887306305673824,0.014155783875920508,0.015043090181594332,"[[1.0, -1.0], [-1.0, 1.0]]",0.0,"[[0.08030147377780658, 0.08270512234383709], [0.0800274665909099, 0.08331842146261423]]","[[0.1310584318341766, 0.15120445667192844], [0.1297635802269144, 0.16406538894058675]]"
ridge_100,separate,0.000887306305673824,0.0,0.000887306305673824,"[[0.0, 0.0], [0.0, 0.0]]",0.0,"[[0.08030147377780658, 0.08270512234383709], [0.0800274665909099, 0.08331842146261423]]","[[0.1310584318341766, 0.15120445667192844], [0.1297635802269144, 0.16406538894058675]]"
ridge_100,crossed,0.000887306305673824,0.01286093226865831,0.013748238574332133,"[[0.0, -1.0], [0.0, 1.0]]",0.0,"[[0.08030147377780658, 0.08270512234383709], [0.0800274665909099, 0.08331842146261423]]","[[0.1310584318341766, 0.15120445667192844], [0.1297635802269144, 0.16406538894058675]]"
boosting_7,shared,0.0005717383726406566,0.007157135468883219,0.007728873841523876,"[[1.0, -1.0], [-1.0, 1.0]]",0.0,"[[0.08032691645412568, 0.08304613295318936], [0.0800274665909099, 0.08331842146261423]]","[[0.13096031722461307, 0.1581049904694022], [0.1297635802269144, 0.16406538894058675]]"
boosting_7,separate,0.0005717383726406566,0.0,0.0005717383726406566,"[[0.0, 0.0], [0.0, 0.0]]",0.0,"[[0.08032691645412568, 0.08304613295318936], [0.0800274665909099, 0.08331842146261423]]","[[0.13096031722461307, 0.1581049904694022], [0.1297635802269144, 0.16406538894058675]]"
boosting_7,crossed,0.0005717383726406566,0.0059603984711845415,0.006532136843825198,"[[0.0, -1.0], [0.0, 1.0]]",0.0,"[[0.08032691645412568, 0.08304613295318936], [0.0800274665909099, 0.08331842146261423]]","[[0.13096031722461307, 0.1581049904694022], [0.1297635802269144, 0.16406538894058675]]"
boosting_31,shared,0.0008521327899961573,0.009056899048860284,0.009909031838856441,"[[1.0, -1.0], [-1.0, 1.0]]",0.0,"[[0.08010896940149125, 0.08254779148319942], [0.0800274665909099, 0.08331842146261423]]","[[0.1304600945840086, 0.15570500424882067], [0.1297635802269144, 0.16406538894058675]]"
boosting_31,separate,0.0008521327899961573,0.0,0.0008521327899961573,"[[0.0, 0.0], [0.0, 0.0]]",0.0,"[[0.08010896940149125, 0.08254779148319942], [0.0800274665909099, 0.08331842146261423]]","[[0.1304600945840086, 0.15570500424882067], [0.1297635802269144, 0.16406538894058675]]"
boosting_31,crossed,0.0008521327899961573,0.008360384691766087,0.009212517481762245,"[[0.0, -1.0], [0.0, 1.0]]",0.0,"[[0.08010896940149125, 0.08254779148319942], [0.0800274665909099, 0.08331842146261423]]","[[0.1304600945840086, 0.15570500424882067], [0.1297635802269144, 0.16406538894058675]]"
blend_ridge_1,shared,0.0004555620252824355,0.0078589621017994,0.008314524127081835,"[[1.0, -1.0], [-1.0, 1.0]]",0.0,"[[0.08027813726260752, 0.08311353010902942], [0.0800274665909099, 0.08331842146261423]]","[[0.13112451654540178, 0.15756736315727474], [0.1297635802269144, 0.16406538894058675]]"
blend_ridge_1,separate,0.0004555620252824355,0.0,0.0004555620252824355,"[[0.0, 0.0], [0.0, 0.0]]",0.0,"[[0.08027813726260752, 0.08311353010902942], [0.0800274665909099, 0.08331842146261423]]","[[0.13112451654540178, 0.15756736315727474], [0.1297635802269144, 0.16406538894058675]]"
blend_ridge_1,crossed,0.0004555620252824355,0.006498025783312017,0.0069535878085944525,"[[0.0, -1.0], [0.0, 1.0]]",0.0,"[[0.08027813726260752, 0.08311353010902942], [0.0800274665909099, 0.08331842146261423]]","[[0.13112451654540178, 0.15756736315727474], [0.1297635802269144, 0.16406538894058675]]"
blend_boosting_7,shared,0.0002814381233111063,0.003266662146857474,0.0035481002701685804,"[[1.0, -1.0], [-1.0, 1.0]]",0.0,"[[0.08024563238431338, 0.08325514913270661], [0.0800274665909099, 0.08331842146261423]]","[[0.1307509135614477, 0.16178606012826258], [0.1297635802269144, 0.16406538894058675]]"
blend_boosting_7,separate,0.0002814381233111063,0.0,0.0002814381233111063,"[[0.0, 0.0], [0.0, 0.0]]",0.0,"[[0.08024563238431338, 0.08325514913270661], [0.0800274665909099, 0.08331842146261423]]","[[0.1307509135614477, 0.16178606012826258], [0.1297635802269144, 0.16406538894058675]]"
