candidate,design,target,reference_interaction,expected_shared_score,overlap_matrix,overlap_matrix_sum,population_covariance,reference_covariance
persistence,shared,0.0,0.0,0.0,"[[1.0, -1.0], [-1.0, 1.0]]",0.0,"[[0.08062584303455965, 0.08332077500770765], [0.08062584303455965, 0.08332077500770765]]","[[0.13446104273914578, 0.1641840326427653], [0.13446104273914578, 0.1641840326427653]]"
persistence,separate,0.0,0.0,0.0,"[[0.0, 0.0], [0.0, 0.0]]",0.0,"[[0.08062584303455965, 0.08332077500770765], [0.08062584303455965, 0.08332077500770765]]","[[0.13446104273914578, 0.1641840326427653], [0.13446104273914578, 0.1641840326427653]]"
persistence,crossed,0.0,0.0,0.0,"[[0.0, -1.0], [0.0, 1.0]]",0.0,"[[0.08062584303455965, 0.08332077500770765], [0.08062584303455965, 0.08332077500770765]]","[[0.13446104273914578, 0.1641840326427653], [0.13446104273914578, 0.1641840326427653]]"
ridge_1,shared,0.0009017031810412968,0.014395762034193488,0.015297465215234785,"[[1.0, -1.0], [-1.0, 1.0]]",0.0,"[[0.08081760616418322, 0.08261083495628993], [0.08062584303455965, 0.08332077500770765]]","[[0.13475657087917697, 0.150083798748603], [0.13446104273914578, 0.1641840326427653]]"
ridge_1,separate,0.0009017031810412968,0.0,0.0009017031810412968,"[[0.0, 0.0], [0.0, 0.0]]",0.0,"[[0.08081760616418322, 0.08261083495628993], [0.08062584303455965, 0.08332077500770765]]","[[0.13475657087917697, 0.150083798748603], [0.13446104273914578, 0.1641840326427653]]"
ridge_1,crossed,0.0009017031810412968,0.01410023389416229,0.015001937075203586,"[[0.0, -1.0], [0.0, 1.0]]",0.0,"[[0.08081760616418322, 0.08261083495628993], [0.08062584303455965, 0.08332077500770765]]","[[0.13475657087917697, 0.150083798748603], [0.13446104273914578, 0.1641840326427653]]"
ridge_100,shared,0.000816830204686772,0.013627875288652141,0.014444705493338914,"[[1.0, -1.0], [-1.0, 1.0]]",0.0,"[[0.08084043831675158, 0.08271854008521282], [0.08062584303455965, 0.08332077500770765]]","[[0.13473808954151628, 0.15083320415648366], [0.13446104273914578, 0.1641840326427653]]"
ridge_100,separate,0.000816830204686772,0.0,0.000816830204686772,"[[0.0, 0.0], [0.0, 0.0]]",0.0,"[[0.08084043831675158, 0.08271854008521282], [0.08062584303455965, 0.08332077500770765]]","[[0.13473808954151628, 0.15083320415648366], [0.13446104273914578, 0.1641840326427653]]"
ridge_100,crossed,0.000816830204686772,0.013350828486281635,0.014167658690968407,"[[0.0, -1.0], [0.0, 1.0]]",0.0,"[[0.08084043831675158, 0.08271854008521282], [0.08062584303455965, 0.08332077500770765]]","[[0.13473808954151628, 0.15083320415648366], [0.13446104273914578, 0.1641840326427653]]"
boosting_7,shared,0.00045613609800800037,0.006740111759215656,0.007196247857223656,"[[1.0, -1.0], [-1.0, 1.0]]",0.0,"[[0.08092116582639468, 0.08315996170153468], [0.08062584303455965, 0.08332077500770765]]","[[0.13531433508292562, 0.15829721322732948], [0.13446104273914578, 0.1641840326427653]]"
boosting_7,separate,0.00045613609800800037,0.0,0.00045613609800800037,"[[0.0, 0.0], [0.0, 0.0]]",0.0,"[[0.08092116582639468, 0.08315996170153468], [0.08062584303455965, 0.08332077500770765]]","[[0.13531433508292562, 0.15829721322732948], [0.13446104273914578, 0.1641840326427653]]"
